Date,Open,High,Low,Close,Volume
22-Sep-03,32.29,32.62,32.02,32.27,5201999
23-Sep-03,32.55,32.89,32.24,32.79,4040152
24-Sep-03,32.80,32.81,31.82,32.00,5012758
25-Sep-03,31.99,32.35,31.71,31.80,3565897
26-Sep-03,31.57,31.65,31.13,31.20,4279092
29-Sep-03,31.15,31.81,30.96,31.36,5000654
30-Sep-03,31.36,31.39,30.77,31.15,3837402
1-Oct-03,31.15,32.35,31.10,32.30,4665859
2-Oct-03,32.35,32.37,31.56,31.94,4514134
3-Oct-03,32.50,32.78,32.18,32.26,4767254
6-Oct-03,32.31,33.05,32.20,33.04,3783229
7-Oct-03,32.77,33.53,32.45,33.34,5211452
8-Oct-03,34.15,34.30,32.41,32.93,13999274
9-Oct-03,33.40,33.59,32.82,32.99,5436786
10-Oct-03,33.05,33.32,32.86,32.87,3702126
13-Oct-03,33.00,33.44,32.96,33.35,2999898
14-Oct-03,32.87,33.59,32.86,33.47,3078448
15-Oct-03,33.60,33.91,33.17,33.64,3572020
16-Oct-03,33.90,34.37,33.76,33.78,3270830
17-Oct-03,33.94,34.29,33.30,33.31,2681426
20-Oct-03,33.30,33.50,32.91,33.45,2633985
21-Oct-03,33.35,34.10,33.33,33.91,3726533
22-Oct-03,33.85,34.15,33.50,33.88,3370302
23-Oct-03,33.80,34.25,33.66,34.06,2864648
24-Oct-03,33.78,33.97,33.00,33.72,3261671
27-Oct-03,33.75,34.10,33.67,33.90,2414276
28-Oct-03,33.73,34.76,33.66,34.76,4046207
29-Oct-03,34.74,35.43,34.53,35.31,5028798
30-Oct-03,35.64,35.76,34.12,34.92,4439803
31-Oct-03,34.88,35.48,34.81,35.45,3925121
3-Nov-03,35.29,35.68,35.09,35.18,2959202
4-Nov-03,35.05,35.51,34.74,35.29,4008148
5-Nov-03,35.37,35.50,34.65,34.87,4528355
6-Nov-03,34.94,35.02,34.40,34.99,4823907
7-Nov-03,35.16,35.23,34.45,34.49,3567595
10-Nov-03,34.49,34.84,34.26,34.45,2586989
11-Nov-03,34.65,34.81,34.10,34.49,2570106
12-Nov-03,34.55,34.92,34.39,34.89,2320558
13-Nov-03,34.60,34.64,33.95,34.29,4859237
14-Nov-03,34.33,35.05,33.99,34.16,4316510
17-Nov-03,34.07,34.23,33.27,33.89,3664757
18-Nov-03,33.89,34.41,33.58,33.64,3193162
19-Nov-03,33.68,34.10,33.50,33.82,2910456
20-Nov-03,33.59,34.63,33.45,34.14,3582483
21-Nov-03,34.30,34.42,34.02,34.11,2916995
24-Nov-03,34.48,35.26,34.27,35.15,4087196
25-Nov-03,35.10,35.75,34.89,35.40,3104336
26-Nov-03,35.53,35.70,35.02,35.41,3756418
28-Nov-03,35.23,35.95,35.11,35.82,1360259
1-Dec-03,35.95,36.62,35.77,36.60,4448217
2-Dec-03,36.40,36.64,35.97,36.03,2879675
3-Dec-03,36.29,36.50,35.44,35.80,5547242
4-Dec-03,36.19,36.38,35.51,36.17,7526424
5-Dec-03,35.80,36.27,35.53,35.82,4462740
8-Dec-03,35.77,36.20,35.50,36.14,4631117
9-Dec-03,36.05,36.75,35.13,36.00,12346341
10-Dec-03,36.48,36.55,35.60,36.10,4964308
11-Dec-03,36.04,36.49,36.03,36.14,4025408
12-Dec-03,36.26,36.41,35.30,35.91,4549656
15-Dec-03,36.20,36.48,35.35,35.43,4836530
16-Dec-03,35.76,35.95,35.20,35.87,3538492
17-Dec-03,36.04,36.14,35.69,35.99,4622873
18-Dec-03,36.05,36.55,36.00,36.52,3338674
19-Dec-03,36.76,36.85,36.30,36.59,3741271
22-Dec-03,36.63,36.67,35.79,35.84,4314377
23-Dec-03,35.96,36.35,35.75,36.25,2452459
24-Dec-03,36.09,36.23,35.89,36.06,843621
26-Dec-03,36.09,36.63,35.99,36.38,1343132
29-Dec-03,36.39,36.98,36.27,36.98,2792938
30-Dec-03,36.91,37.40,36.77,37.29,2982038
31-Dec-03,37.20,37.37,36.85,37.18,2465544
2-Jan-04,37.19,37.42,36.18,36.32,2603059
5-Jan-04,36.44,36.61,35.86,36.15,3968407
6-Jan-04,36.10,36.93,36.06,36.56,3125226
7-Jan-04,36.57,37.18,36.52,37.08,3467155
8-Jan-04,37.40,37.53,37.02,37.26,4973060
9-Jan-04,37.32,38.36,36.98,37.96,6197877
12-Jan-04,37.77,37.86,37.15,37.70,3195372
13-Jan-04,37.53,37.98,37.46,37.86,2092166
14-Jan-04,37.20,37.42,36.92,37.04,4571455
15-Jan-04,37.02,37.52,35.91,37.07,3555082
16-Jan-04,37.34,37.37,36.69,37.07,3188236
20-Jan-04,37.20,37.20,36.36,36.40,3147600
21-Jan-04,36.32,36.66,36.24,36.55,3175565
22-Jan-04,36.51,36.73,36.20,36.50,3359303
23-Jan-04,36.60,37.43,36.50,37.35,5180210
26-Jan-04,37.37,37.52,36.57,37.12,3510182
27-Jan-04,37.20,37.41,36.54,36.69,3375549
28-Jan-04,37.01,37.16,36.00,36.08,3625379
29-Jan-04,36.35,36.90,36.15,36.90,4062397
30-Jan-04,36.93,37.48,36.68,36.94,3004918
2-Feb-04,36.96,37.61,36.83,37.22,2119315
3-Feb-04,37.19,37.60,37.00,37.13,2251723
4-Feb-04,37.04,37.82,36.92,37.30,3123578
5-Feb-04,38.00,38.15,37.37,37.92,4348515
6-Feb-04,38.02,38.24,37.74,38.14,3996290
9-Feb-04,37.97,38.58,37.71,38.31,3072451
10-Feb-04,38.25,39.50,38.19,39.41,4199574
11-Feb-04,39.11,39.30,38.71,39.15,3978898
12-Feb-04,38.40,38.71,37.55,37.75,5448377
13-Feb-04,37.82,38.07,37.32,37.61,2275521
17-Feb-04,37.81,38.29,37.70,37.76,2034809
18-Feb-04,37.75,38.00,37.52,37.83,1845002
19-Feb-04,37.96,38.26,37.47,37.48,2444241
20-Feb-04,37.76,38.50,37.51,38.18,2712115
23-Feb-04,38.01,38.66,37.83,38.15,2849155
24-Feb-04,37.97,38.79,37.97,38.45,3059238
25-Feb-04,38.29,38.93,38.11,38.69,2754992
26-Feb-04,38.60,39.00,38.36,38.60,3116443
27-Feb-04,38.28,39.13,38.10,38.86,6119291
1-Mar-04,39.18,40.00,38.95,39.94,4552059
2-Mar-04,40.25,40.42,39.06,39.71,4713705
3-Mar-04,38.72,39.25,37.80,38.31,10196606
4-Mar-04,38.00,38.89,37.80,38.64,5321363
5-Mar-04,37.94,38.37,37.79,38.15,4390683
8-Mar-04,37.98,38.26,37.71,37.79,3024650
9-Mar-04,37.56,37.85,37.25,37.56,3775944
10-Mar-04,37.47,38.19,37.37,37.47,3617401
11-Mar-04,37.63,38.33,37.25,37.63,3968845
12-Mar-04,37.68,38.35,37.50,38.30,2374498
15-Mar-04,37.42,38.16,37.30,37.42,3119927
16-Mar-04,37.75,37.80,36.76,37.04,3853105
17-Mar-04,37.38,37.50,36.94,37.31,2841279
18-Mar-04,37.38,37.55,37.05,37.38,3905372
19-Mar-04,37.23,37.59,37.04,37.23,3802120
22-Mar-04,36.71,37.14,36.10,36.71,3645900
23-Mar-04,36.46,37.05,36.38,36.47,2398988
24-Mar-04,36.44,36.78,36.12,36.44,3834616
25-Mar-04,36.96,37.25,36.38,36.96,2266501
26-Mar-04,37.01,37.14,36.56,36.62,3715403
29-Mar-04,37.18,37.45,36.62,37.18,1664734
30-Mar-04,37.09,37.34,36.79,37.28,2371493
31-Mar-04,37.61,37.74,37.19,37.61,2679948
1-Apr-04,37.35,37.63,36.89,37.35,2509764
2-Apr-04,37.92,38.00,37.31,37.70,2631175
5-Apr-04,37.68,38.10,37.54,38.08,2203456
6-Apr-04,38.07,38.07,37.54,38.07,2468093
7-Apr-04,38.15,38.38,37.50,38.15,4088017
8-Apr-04,38.49,38.77,37.58,37.90,5281005
12-Apr-04,37.98,38.10,37.48,37.66,2009940
13-Apr-04,37.16,37.79,37.02,37.16,3828401
14-Apr-04,37.05,37.96,36.75,37.70,3335837
15-Apr-04,37.37,37.99,37.25,37.37,2825334
16-Apr-04,37.66,38.29,37.27,38.08,3071271
19-Apr-04,38.02,38.33,37.93,38.04,2294925
20-Apr-04,38.15,38.63,37.72,37.79,2431015
21-Apr-04,38.31,38.38,37.61,38.31,2884840
22-Apr-04,38.29,38.75,37.95,38.29,4166798
23-Apr-04,38.19,38.56,37.99,38.54,2813112
26-Apr-04,38.55,38.72,38.00,38.09,2339018
27-Apr-04,38.04,38.50,37.95,38.04,3510131
28-Apr-04,38.01,38.34,37.83,37.99,6324566
29-Apr-04,37.66,38.34,37.30,37.66,2508131
30-Apr-04,37.53,38.12,37.41,37.50,2984780
3-May-04,37.41,38.09,37.33,37.58,2975968
4-May-04,37.58,37.90,37.33,37.47,3441444
5-May-04,37.32,37.70,37.22,37.41,4736477
6-May-04,36.30,37.10,36.15,36.30,5389389
7-May-04,36.15,36.59,35.50,35.66,4776256
10-May-04,35.55,36.48,35.35,36.42,4088976
11-May-04,36.46,36.67,35.90,36.12,2723827
