Date,Open,High,Low,Close,Volume
22-Sep-03,93.40,93.10,92.06,92.66,3702900
23-Sep-03,92.00,91.35,88.99,89.06,10655800
24-Sep-03,89.07,89.07,85.71,85.82,9449900
25-Sep-03,85.52,85.52,85.52,85.52,0
26-Sep-03,86.02,86.21,84.20,84.70,4020600
29-Sep-03,85.15,85.99,84.57,85.00,4695900
30-Sep-03,84.75,84.86,83.64,83.90,5258400
1-Oct-03,83.90,86.13,83.90,86.00,4332700
2-Oct-03,85.96,85.96,85.96,85.96,0
3-Oct-03,87.30,88.11,86.24,86.66,4120100
6-Oct-03,86.66,88.00,86.45,86.72,3215900
7-Oct-03,86.72,87.32,85.84,86.84,3785600
8-Oct-03,86.85,87.12,85.55,86.26,2808000
9-Oct-03,87.00,87.00,87.00,87.00,0
10-Oct-03,87.01,87.33,86.43,86.94,2729900
13-Oct-03,87.70,88.68,87.62,88.17,1987200
14-Oct-03,88.17,88.77,87.08,88.64,3298700
15-Oct-03,89.45,89.63,88.55,88.75,4037000
16-Oct-03,87.99,87.99,87.99,87.99,0
17-Oct-03,88.03,88.55,86.73,87.17,3340700
20-Oct-03,87.00,87.23,85.94,87.01,3232600
21-Oct-03,87.02,88.91,87.02,87.62,3029500
22-Oct-03,86.47,86.47,86.47,86.47,0
23-Oct-03,86.22,87.92,86.02,87.00,3889600
24-Oct-03,87.00,87.00,85.01,85.82,3397100
27-Oct-03,87.50,88.52,86.80,88.19,4347800
28-Oct-03,88.95,92.25,88.69,92.25,7023300
29-Oct-03,92.99,93.16,92.00,92.65,5216600
30-Oct-03,93.43,93.43,93.43,93.43,0
31-Oct-03,93.43,94.89,93.43,93.90,3561200
3-Nov-03,94.65,96.80,94.55,96.19,5132927
4-Nov-03,96.20,96.20,94.71,95.95,3024120
5-Nov-03,95.95,96.25,94.26,95.47,4089800
6-Nov-03,96.53,96.53,96.53,96.53,0
7-Nov-03,96.53,97.39,96.20,96.98,3537800
10-Nov-03,96.98,96.98,95.58,96.08,3144100
11-Nov-03,96.09,96.35,95.45,96.10,1801200
12-Nov-03,95.95,96.85,95.68,96.70,2246100
13-Nov-03,96.02,96.02,96.02,96.02,0
14-Nov-03,96.09,96.69,93.45,93.80,3643300
17-Nov-03,93.81,94.70,93.14,94.25,3131600
18-Nov-03,95.00,95.05,93.35,93.73,2454400
19-Nov-03,93.30,94.02,93.20,93.93,2768900
20-Nov-03,91.76,91.76,91.76,91.76,0
21-Nov-03,92.35,93.30,92.09,92.97,3075500
24-Nov-03,94.92,94.92,94.92,94.92,0
25-Nov-03,95.80,96.64,95.59,96.25,3013900
26-Nov-03,96.70,96.70,95.37,96.67,2038900
28-Nov-03,96.67,97.10,95.76,96.08,1040000
1-Dec-03,96.23,97.77,96.23,97.48,3381800
2-Dec-03,98.00,98.75,97.26,97.40,3102500
3-Dec-03,98.25,100.00,97.90,99.29,4480900
4-Dec-03,98.73,98.73,98.73,98.73,0
5-Dec-03,98.73,99.31,97.60,98.03,2558100
8-Dec-03,97.80,98.80,97.45,98.80,1822500
9-Dec-03,98.80,98.90,97.60,98.20,2408100
10-Dec-03,98.20,99.50,97.24,97.60,2995400
11-Dec-03,98.34,98.34,98.34,98.34,0
12-Dec-03,98.50,99.36,97.97,99.15,1720300
15-Dec-03,99.93,100.78,97.75,97.75,3181600
16-Dec-03,97.76,98.40,96.91,97.52,3622500
17-Dec-03,97.03,98.50,96.77,98.35,4087700
18-Dec-03,97.35,97.35,97.35,97.35,0
19-Dec-03,97.50,97.39,95.84,96.38,5135600
22-Dec-03,96.38,98.43,96.35,98.15,3618100
23-Dec-03,98.55,98.80,98.15,98.22,2257800
24-Dec-03,97.82,97.95,97.45,97.55,985900
26-Dec-03,97.55,98.43,97.55,97.94,887100
29-Dec-03,98.48,99.75,98.20,99.58,2480400
30-Dec-03,99.16,99.16,99.16,99.16,0
31-Dec-03,99.57,99.58,98.00,98.73,2877800
2-Jan-04,98.80,99.09,96.58,97.13,3042300
5-Jan-04,97.30,97.94,96.15,97.18,4817700
6-Jan-04,97.00,97.67,96.38,96.60,4078300
7-Jan-04,96.76,98.86,96.45,98.63,4457800
8-Jan-04,98.75,98.75,98.75,98.75,0
9-Jan-04,98.74,98.75,97.29,97.50,3298900
12-Jan-04,97.60,97.85,96.45,97.78,2844700
13-Jan-04,97.85,97.95,97.04,97.67,3257500
14-Jan-04,99.38,99.38,99.38,99.38,0
15-Jan-04,99.39,102.00,99.95,101.14,8306000
16-Jan-04,101.15,101.59,100.03,100.48,6035000
20-Jan-04,101.00,101.55,99.60,100.40,3096000
21-Jan-04,100.30,101.50,99.37,101.50,3296000
22-Jan-04,100.68,100.68,100.68,100.68,0
23-Jan-04,100.68,101.08,98.79,99.50,3742700
26-Jan-04,99.42,102.49,99.35,102.28,4096300
27-Jan-04,102.19,102.75,100.80,101.05,3231600
28-Jan-04,101.30,101.50,97.70,98.30,4071000
29-Jan-04,99.40,99.40,99.40,99.40,0
30-Jan-04,99.41,100.43,98.82,99.55,2982100
2-Feb-04,99.23,100.46,98.47,99.81,3433900
3-Feb-04,99.77,101.36,99.20,101.15,3663400
4-Feb-04,101.15,101.20,99.70,99.75,3229500
5-Feb-04,98.84,98.84,98.84,98.84,0
6-Feb-04,99.29,101.56,99.14,101.34,3196000
9-Feb-04,101.34,102.47,100.87,101.87,2518600
10-Feb-04,102.17,102.44,101.43,102.18,2558800
11-Feb-04,103.60,107.26,103.48,107.09,7277700
