Date,Open,High,Low,Close,Volume
22-Sep-03,35.00,35.06,34.56,34.99,9198200
23-Sep-03,35.46,35.46,34.61,35.45,8598200
24-Sep-03,35.99,35.75,34.79,34.87,11445800
25-Sep-03,34.48,34.48,34.48,34.48,0
26-Sep-03,34.75,34.71,33.94,34.19,10334800
29-Sep-03,34.20,34.80,34.12,34.65,6481500
30-Sep-03,34.60,34.70,33.86,34.33,9573300
1-Oct-03,34.70,35.48,34.56,35.38,11368400
2-Oct-03,35.02,35.02,35.02,35.02,0
3-Oct-03,35.05,35.80,35.00,35.17,11020900
6-Oct-03,35.20,35.71,35.12,35.55,7477500
7-Oct-03,35.55,36.16,35.17,36.09,11345300
8-Oct-03,36.20,36.21,35.56,35.61,9122800
9-Oct-03,35.57,35.57,35.57,35.57,0
10-Oct-03,35.70,35.84,35.43,35.52,5649300
13-Oct-03,35.70,36.47,35.56,36.44,7584400
14-Oct-03,36.50,36.78,36.15,36.78,7276100
15-Oct-03,36.94,36.98,36.26,36.60,7431300
16-Oct-03,36.84,36.84,36.84,36.84,0
17-Oct-03,36.62,36.92,36.16,36.34,5894800
20-Oct-03,36.75,36.60,35.97,36.60,7403700
21-Oct-03,36.80,36.90,36.35,36.67,7526600
22-Oct-03,34.98,34.98,34.98,34.98,0
23-Oct-03,35.00,35.40,34.70,35.00,10031900
24-Oct-03,35.00,35.10,34.63,34.77,7686400
27-Oct-03,35.23,35.28,34.79,34.95,9827700
28-Oct-03,35.00,35.69,34.99,35.55,11745200
29-Oct-03,35.55,36.05,35.36,35.93,7608300
30-Oct-03,35.84,35.84,35.84,35.84,0
31-Oct-03,35.90,36.17,35.81,35.90,6287600
3-Nov-03,36.22,36.75,36.05,36.71,8157128
4-Nov-03,36.30,36.76,36.28,36.60,6485493
5-Nov-03,36.56,36.74,36.30,36.53,5912600
6-Nov-03,36.31,36.31,36.31,36.31,0
7-Nov-03,36.50,36.48,36.02,36.04,6347700
10-Nov-03,35.71,36.10,35.65,35.89,4639500
11-Nov-03,35.55,36.17,35.53,36.04,4123200
12-Nov-03,36.10,36.27,35.76,35.89,7195100
13-Nov-03,35.86,35.86,35.86,35.86,0
14-Nov-03,35.70,35.97,35.10,35.46,7224900
