Date,Open,High,Low,Close,Volume
22-Sep-03,38.70,38.83,38.01,38.10,4708900
23-Sep-03,38.50,39.59,38.46,39.49,4269300
24-Sep-03,39.40,39.52,38.80,38.89,3868400
25-Sep-03,39.11,39.11,39.11,39.11,0
26-Sep-03,39.00,39.11,38.24,38.25,3895900
29-Sep-03,38.26,38.55,36.85,37.55,6599200
30-Sep-03,37.55,38.10,36.75,37.63,5636500
1-Oct-03,37.63,38.69,37.61,38.62,3804300
2-Oct-03,38.24,38.24,38.24,38.24,0
3-Oct-03,38.24,39.95,38.24,39.35,3681200
6-Oct-03,39.13,39.40,39.02,39.15,2321800
7-Oct-03,38.70,39.70,38.62,39.69,2300400
8-Oct-03,39.98,40.00,39.05,39.30,1723600
9-Oct-03,40.40,40.40,40.40,40.40,0
10-Oct-03,40.29,40.47,39.44,39.57,3490900
13-Oct-03,39.85,40.29,39.57,40.11,2180500
14-Oct-03,40.20,40.67,39.78,40.67,2110300
15-Oct-03,40.90,40.91,40.06,40.34,2991600
16-Oct-03,40.25,40.25,40.25,40.25,0
17-Oct-03,40.40,40.52,39.50,39.68,2544400
20-Oct-03,39.85,39.90,39.20,39.41,2862200
21-Oct-03,39.25,40.05,39.21,39.89,2306900
22-Oct-03,39.11,39.11,39.11,39.11,0
23-Oct-03,39.11,39.18,38.65,39.03,3050100
24-Oct-03,38.98,38.98,37.85,38.38,3776500
27-Oct-03,38.85,39.10,38.76,38.80,4132200
28-Oct-03,38.90,39.71,38.67,39.69,4833800
29-Oct-03,40.24,39.76,39.35,39.50,2995300
30-Oct-03,39.28,39.28,39.28,39.28,0
31-Oct-03,39.28,40.13,39.28,39.74,2755200
3-Nov-03,40.00,40.50,39.75,39.86,3281727
4-Nov-03,39.93,39.97,39.25,39.44,2786687
5-Nov-03,39.44,39.45,38.67,38.84,3292100
6-Nov-03,39.15,39.15,39.15,39.15,0
7-Nov-03,39.15,39.32,38.75,38.86,2980800
10-Nov-03,38.94,39.28,38.56,39.05,3952400
11-Nov-03,39.71,39.82,39.03,39.42,3837500
12-Nov-03,39.42,40.00,39.10,39.93,3436400
13-Nov-03,39.00,39.00,39.00,39.00,0
14-Nov-03,39.25,39.25,38.35,38.64,4146800
17-Nov-03,38.65,38.65,37.20,38.34,3239000
18-Nov-03,39.00,39.10,37.96,38.00,3147700
19-Nov-03,37.80,38.48,37.50,38.48,4130900
20-Nov-03,37.86,37.86,37.86,37.86,0
21-Nov-03,37.89,38.33,37.61,37.75,3766400
24-Nov-03,38.74,38.74,38.74,38.74,0
25-Nov-03,39.15,39.15,38.65,38.98,3469600
26-Nov-03,38.92,38.99,38.00,38.72,3406400
28-Nov-03,38.72,38.85,38.51,38.72,1188700
1-Dec-03,39.00,39.68,38.52,39.58,5338100
2-Dec-03,39.40,39.65,38.89,39.01,4054500
3-Dec-03,38.90,39.47,38.84,39.23,3992000
4-Dec-03,40.15,40.15,40.15,40.15,0
5-Dec-03,39.98,40.25,39.13,39.19,3564400
8-Dec-03,39.19,39.54,38.82,39.24,3035900
9-Dec-03,39.55,39.68,38.91,39.12,2362500
10-Dec-03,39.12,39.91,38.92,39.10,5164200
11-Dec-03,39.01,39.01,39.01,39.01,0
12-Dec-03,39.03,39.16,38.55,38.77,2485800
15-Dec-03,39.90,39.40,36.99,37.12,7890300
16-Dec-03,37.12,37.55,36.19,37.24,7056800
17-Dec-03,36.95,38.45,36.90,38.40,6377400
18-Dec-03,38.50,38.50,38.50,38.50,0
19-Dec-03,38.43,38.50,37.90,38.01,3813500
22-Dec-03,38.01,38.63,37.69,38.16,3288700
23-Dec-03,37.76,38.59,37.67,38.03,3601700
24-Dec-03,37.60,37.86,37.26,37.65,2576100
26-Dec-03,37.60,38.16,37.60,37.72,1012200
29-Dec-03,37.75,38.71,37.75,38.65,3428900
30-Dec-03,38.38,38.38,38.38,38.38,0
31-Dec-03,38.41,38.70,38.08,38.40,2568600
2-Jan-04,38.45,38.78,37.63,37.72,2631800
5-Jan-04,37.75,38.26,36.63,37.40,6555300
6-Jan-04,37.90,38.69,37.68,38.57,5080300
7-Jan-04,38.35,38.57,37.75,38.27,3389100
8-Jan-04,37.76,37.76,37.76,37.76,0
9-Jan-04,37.76,37.56,36.98,37.05,4758300
12-Jan-04,37.35,37.48,36.78,37.34,3958700
13-Jan-04,37.50,38.24,37.64,38.24,5295400
14-Jan-04,38.25,38.49,37.98,38.35,3184400
15-Jan-04,38.40,39.10,38.00,39.05,4104400
16-Jan-04,39.25,39.50,38.74,39.16,4717100
20-Jan-04,39.16,39.16,37.82,37.92,4426000
21-Jan-04,37.92,38.35,37.60,38.26,4132700
22-Jan-04,38.40,38.40,38.40,38.40,0
23-Jan-04,38.38,39.00,38.35,39.00,3038100
26-Jan-04,38.86,38.89,38.05,38.52,3029300
27-Jan-04,38.58,39.20,38.52,38.78,5679000
28-Jan-04,38.78,38.90,37.27,37.47,5685700
29-Jan-04,38.02,38.02,38.02,38.02,0
30-Jan-04,38.06,38.83,37.86,37.96,3293100
2-Feb-04,38.05,38.83,38.04,38.59,3938800
3-Feb-04,38.59,39.16,38.40,39.00,3907100
4-Feb-04,39.00,39.90,38.90,39.00,6286700
5-Feb-04,39.10,39.10,39.10,39.10,0
6-Feb-04,39.05,39.44,38.69,39.44,3917600
9-Feb-04,39.79,40.12,39.47,39.53,2863300
10-Feb-04,40.00,41.33,39.94,41.30,8157400
11-Feb-04,41.25,41.95,40.84,41.65,5460600
12-Feb-04,41.72,41.72,41.72,41.72,0
13-Feb-04,41.48,41.72,40.83,41.17,3076100
17-Feb-04,41.95,41.99,41.64,41.88,4309000
18-Feb-04,41.95,42.55,41.88,42.29,4639600
19-Feb-04,41.71,41.71,41.71,41.71,0
20-Feb-04,42.18,43.19,42.05,42.64,5665300
23-Feb-04,43.20,43.20,42.72,42.92,3933100
24-Feb-04,42.92,43.64,42.20,42.72,4368300
25-Feb-04,42.55,43.10,42.37,42.91,2618800
26-Feb-04,43.20,43.20,43.20,43.20,0
27-Feb-04,43.40,44.68,43.29,43.96,5670800
1-Mar-04,44.16,44.59,44.16,44.41,4221400
2-Mar-04,44.10,44.49,43.31,43.58,3115600
3-Mar-04,44.75,43.70,43.01,43.59,3662400
4-Mar-04,43.77,43.77,43.77,43.77,0
5-Mar-04,43.15,43.61,42.91,43.20,4261600
8-Mar-04,43.10,43.47,42.89,42.93,2855700
9-Mar-04,43.20,43.21,42.53,42.85,2390500
10-Mar-04,42.85,42.90,41.58,41.73,3269400
11-Mar-04,44.70,44.70,44.70,44.70,0
12-Mar-04,45.00,45.86,44.60,45.63,6520100
15-Mar-04,45.51,45.51,44.96,45.14,4206500
16-Mar-04,45.17,45.43,44.72,45.29,3968300
17-Mar-04,45.24,45.49,44.97,45.00,3897300
18-Mar-04,44.89,44.89,44.89,44.89,0
19-Mar-04,46.81,46.81,44.46,44.73,3147400
22-Mar-04,44.55,44.60,43.92,44.22,3944600
23-Mar-04,44.22,44.49,43.84,43.84,3022300
24-Mar-04,43.70,44.18,43.45,43.83,3611800
25-Mar-04,44.42,44.42,44.42,44.42,0
26-Mar-04,44.44,44.78,44.18,44.51,3151800
