Date,Open,High,Low,Close,Volume
22-Sep-03,25.84,25.84,25.22,25.55,8085400
23-Sep-03,25.56,25.64,25.40,25.51,7792200
24-Sep-03,25.58,25.60,25.28,25.37,8368800
25-Sep-03,25.48,25.48,25.48,25.48,0
26-Sep-03,25.48,25.75,25.48,25.70,11414800
29-Sep-03,25.70,25.88,25.55,25.86,8787600
30-Sep-03,25.86,25.92,25.55,25.75,10420400
1-Oct-03,25.88,26.47,25.84,26.45,13212400
2-Oct-03,26.48,26.48,26.48,26.48,0
3-Oct-03,26.70,26.91,26.54,26.62,13604200
6-Oct-03,26.60,26.78,26.44,26.67,5565400
7-Oct-03,26.67,27.12,26.58,27.08,10259600
8-Oct-03,27.02,27.12,26.82,27.07,10473800
9-Oct-03,27.10,27.10,27.10,27.10,0
10-Oct-03,27.11,27.32,27.08,27.28,8590400
13-Oct-03,27.38,27.60,27.30,27.52,8136200
14-Oct-03,27.55,27.96,27.40,27.58,7854800
15-Oct-03,27.64,27.64,27.40,27.52,7890200
16-Oct-03,27.53,27.53,27.53,27.53,0
17-Oct-03,27.53,27.55,27.38,27.50,9686800
20-Oct-03,27.50,27.68,27.40,27.68,9140400
21-Oct-03,27.53,27.90,27.18,27.75,13084800
22-Oct-03,27.36,27.36,27.36,27.36,0
23-Oct-03,27.36,27.62,27.22,27.60,9824400
24-Oct-03,27.45,27.50,27.14,27.50,8945200
27-Oct-03,27.65,27.69,27.02,27.22,11773800
28-Oct-03,27.10,27.47,26.81,27.46,10847800
29-Oct-03,27.46,27.48,27.20,27.44,6985200
30-Oct-03,27.69,27.69,27.69,27.69,0
31-Oct-03,27.65,28.36,27.60,28.16,15241800
3-Nov-03,28.16,28.48,28.16,28.44,10957222
4-Nov-03,28.44,28.44,27.82,27.98,14113836
5-Nov-03,27.82,27.90,27.58,27.84,9903200
6-Nov-03,27.88,27.88,27.88,27.88,0
7-Nov-03,27.95,28.06,27.46,27.80,8379000
10-Nov-03,27.64,27.82,27.54,27.76,6480000
11-Nov-03,27.76,28.11,27.76,27.96,6900800
12-Nov-03,28.05,28.48,27.88,28.36,12154400
13-Nov-03,28.58,28.58,28.58,28.58,0
14-Nov-03,28.58,28.58,28.17,28.27,5838000
17-Nov-03,28.06,28.28,28.00,28.28,5601000
18-Nov-03,28.35,28.38,28.02,28.08,6774000
19-Nov-03,27.79,28.26,27.78,28.20,6238400
20-Nov-03,28.18,28.18,28.18,28.18,0
21-Nov-03,28.36,28.39,28.13,28.25,11043000
24-Nov-03,28.36,28.36,28.36,28.36,0
25-Nov-03,28.41,28.74,28.22,28.58,7405200
26-Nov-03,28.68,28.74,28.48,28.68,6826400
28-Nov-03,28.62,28.75,28.62,28.66,2296200
1-Dec-03,28.88,28.93,28.65,28.88,7023400
2-Dec-03,28.88,28.88,28.52,28.58,9908800
3-Dec-03,28.52,28.64,28.32,28.38,10741000
4-Dec-03,28.46,28.46,28.46,28.46,0
5-Dec-03,28.42,28.52,28.25,28.40,7458400
8-Dec-03,28.35,28.70,28.34,28.60,5691200
9-Dec-03,28.50,28.49,28.14,28.22,9056600
10-Dec-03,28.22,28.29,27.86,28.20,8662000
11-Dec-03,28.40,28.40,28.40,28.40,0
12-Dec-03,28.48,28.54,28.38,28.50,6116600
15-Dec-03,28.62,28.62,28.03,28.04,8745600
16-Dec-03,28.08,28.59,28.08,28.58,9446800
17-Dec-03,28.58,28.69,28.40,28.65,8430800
18-Dec-03,28.90,28.90,28.90,28.90,0
19-Dec-03,28.96,29.09,28.85,29.04,14301600
22-Dec-03,29.04,29.08,28.83,29.00,6117400
23-Dec-03,29.00,29.19,28.96,29.18,5549600
24-Dec-03,29.18,29.24,29.09,29.14,2174800
26-Dec-03,29.14,29.30,29.11,29.18,1783600
29-Dec-03,29.15,29.40,29.14,29.39,5795000
30-Dec-03,29.47,29.47,29.47,29.47,0
31-Dec-03,29.47,29.59,29.22,29.44,6413200
2-Jan-04,29.25,29.44,28.98,29.08,8244000
5-Jan-04,29.22,29.34,28.96,29.22,8846000
6-Jan-04,29.08,29.22,29.06,29.13,8381600
7-Jan-04,28.88,29.00,28.75,28.84,10670600
8-Jan-04,28.82,28.82,28.82,28.82,0
9-Jan-04,28.68,29.18,28.67,28.69,6723400
12-Jan-04,28.69,28.69,28.37,28.48,8059600
13-Jan-04,28.39,28.42,27.98,28.14,12016400
14-Jan-04,28.25,28.28,28.04,28.16,10537800
15-Jan-04,28.62,28.48,27.98,28.25,15305000
16-Jan-04,28.25,28.62,28.22,28.60,9213200
20-Jan-04,28.56,28.85,28.37,28.68,9566000
21-Jan-04,28.52,28.95,28.50,28.92,7570600
22-Jan-04,28.60,28.60,28.60,28.60,0
23-Jan-04,28.62,28.80,28.34,28.42,10300600
26-Jan-04,28.40,29.02,28.39,29.02,8958000
27-Jan-04,29.02,29.20,28.66,28.70,8308400
28-Jan-04,28.72,29.22,28.48,28.53,10035800
29-Jan-04,28.92,28.92,28.92,28.92,0
30-Jan-04,28.92,28.98,28.68,28.70,7398200
2-Feb-04,28.88,28.95,28.52,28.78,7022200
3-Feb-04,28.88,29.10,28.72,28.98,7383400
4-Feb-04,28.82,28.75,28.48,28.55,7241600
5-Feb-04,28.53,28.53,28.53,28.53,0
6-Feb-04,28.72,28.98,28.71,28.98,5921600
9-Feb-04,28.80,28.92,28.72,28.84,5014400
10-Feb-04,28.78,28.88,28.64,28.78,6998800
11-Feb-04,28.72,29.18,28.50,29.10,8056600
12-Feb-04,28.70,28.70,28.70,28.70,0
13-Feb-04,28.70,28.92,28.53,28.68,6506600
17-Feb-04,28.68,28.92,28.66,28.70,5892800
18-Feb-04,28.70,28.80,28.46,28.48,8460200
