Date,Open,High,Low,Close,Volume
22-Sep-03,57.40,57.75,56.75,57.07,9251900
23-Sep-03,57.20,57.91,57.19,57.62,6606400
24-Sep-03,57.22,57.50,56.55,56.62,7999700
25-Sep-03,56.89,56.89,56.89,56.89,0
26-Sep-03,56.70,57.09,56.61,56.80,6575300
29-Sep-03,56.81,57.35,56.47,57.23,8670300
30-Sep-03,57.23,57.35,55.80,55.85,12834400
1-Oct-03,56.01,57.10,56.01,57.06,10932700
2-Oct-03,57.06,57.06,57.06,57.06,0
3-Oct-03,58.00,58.22,57.37,57.48,9632800
6-Oct-03,57.57,58.45,57.49,57.99,4122700
7-Oct-03,57.74,58.90,57.71,58.90,7146900
8-Oct-03,59.00,59.02,58.24,58.52,5576700
9-Oct-03,58.96,58.96,58.96,58.96,0
10-Oct-03,58.95,58.99,58.37,58.42,4819900
13-Oct-03,58.43,59.19,58.43,58.95,4566200
14-Oct-03,59.10,59.55,58.68,59.33,5283000
15-Oct-03,59.34,59.34,58.65,59.07,6727300
16-Oct-03,59.39,59.39,59.39,59.39,0
17-Oct-03,59.60,59.63,58.64,58.84,7193300
20-Oct-03,59.00,59.14,58.55,59.00,6845900
21-Oct-03,58.85,59.47,58.65,58.97,5273900
22-Oct-03,58.24,58.24,58.24,58.24,0
23-Oct-03,58.00,58.75,58.15,58.70,6443300
24-Oct-03,58.28,58.71,57.00,58.11,8478400
27-Oct-03,57.80,58.44,57.75,57.79,7014800
28-Oct-03,57.79,58.77,57.78,58.76,8032200
29-Oct-03,58.55,58.96,58.32,58.85,5387000
30-Oct-03,58.80,58.80,58.80,58.80,0
31-Oct-03,58.80,59.18,58.76,58.95,5913300
3-Nov-03,58.95,59.93,58.52,59.04,5486719
4-Nov-03,59.05,58.90,58.35,58.66,7645966
5-Nov-03,58.66,58.67,57.76,57.92,7967500
6-Nov-03,58.61,58.61,58.61,58.61,0
7-Nov-03,58.75,58.80,58.21,58.42,6617800
10-Nov-03,59.00,58.47,57.83,58.12,5579200
11-Nov-03,58.13,58.47,57.94,58.28,4976200
12-Nov-03,58.28,58.35,57.82,57.96,8623600
13-Nov-03,55.52,55.52,55.52,55.52,0
14-Nov-03,55.89,55.95,54.50,55.00,16168700
17-Nov-03,54.20,55.00,54.36,55.00,10353300
18-Nov-03,55.20,55.30,54.53,54.72,10104400
19-Nov-03,54.92,55.34,54.55,55.21,7160200
20-Nov-03,55.07,55.07,55.07,55.07,0
21-Nov-03,55.20,55.23,54.67,54.81,8607800
24-Nov-03,56.08,56.08,56.08,56.08,0
25-Nov-03,56.52,56.26,55.76,56.04,8100300
26-Nov-03,56.02,56.20,55.19,55.70,7018000
28-Nov-03,55.85,56.00,55.51,55.64,3167600
1-Dec-03,55.70,55.66,53.95,54.50,19749600
2-Dec-03,54.75,54.55,52.99,53.02,21680300
3-Dec-03,53.25,53.72,52.68,52.69,17706000
4-Dec-03,53.02,53.02,53.02,53.02,0
5-Dec-03,52.88,53.65,52.70,53.48,13539300
8-Dec-03,53.53,53.60,53.00,53.40,10426400
9-Dec-03,53.50,53.53,52.55,52.61,9983900
10-Dec-03,52.90,53.25,52.56,52.95,9715400
11-Dec-03,52.81,52.81,52.81,52.81,0
12-Dec-03,53.37,53.00,52.01,52.50,11523700
15-Dec-03,52.98,53.07,50.50,50.74,24710600
16-Dec-03,51.20,51.49,50.60,51.39,16733200
17-Dec-03,51.00,52.40,51.25,51.90,16684200
18-Dec-03,52.60,52.60,52.60,52.60,0
19-Dec-03,52.85,53.01,52.34,52.35,14489100
22-Dec-03,51.75,53.20,52.08,53.07,11428700
23-Dec-03,52.55,53.32,52.52,52.77,9912500
24-Dec-03,52.95,52.95,52.26,52.44,3627900
26-Dec-03,52.43,53.03,52.32,52.52,3119300
29-Dec-03,52.68,52.90,52.27,52.90,7837500
30-Dec-03,52.78,52.78,52.78,52.78,0
31-Dec-03,52.95,53.17,52.70,53.05,6764200
2-Jan-04,53.20,53.40,52.13,52.30,8797000
5-Jan-04,52.60,52.80,51.58,52.12,13466300
6-Jan-04,52.50,53.40,52.30,53.34,13316400
7-Jan-04,53.34,53.51,52.81,53.48,12228900
8-Jan-04,53.26,53.26,53.26,53.26,0
9-Jan-04,53.15,53.15,52.27,52.40,11086200
12-Jan-04,52.90,52.80,52.10,52.51,8950000
13-Jan-04,52.50,52.76,52.11,52.76,8477100
14-Jan-04,52.70,53.18,52.76,53.14,7543100
15-Jan-04,53.25,53.64,52.60,53.49,10128000
16-Jan-04,53.65,53.75,53.13,53.48,9719600
20-Jan-04,53.28,53.45,52.77,52.95,7981500
21-Jan-04,52.90,53.53,52.90,53.45,9061200
22-Jan-04,53.18,53.18,53.18,53.18,0
23-Jan-04,53.18,54.44,53.08,54.21,12559400
26-Jan-04,54.00,54.68,53.77,54.61,9147700
27-Jan-04,54.50,54.95,54.36,54.43,9527000
28-Jan-04,54.44,54.59,53.13,53.27,10029500
29-Jan-04,54.48,54.48,54.48,54.48,0
30-Jan-04,54.40,54.70,53.84,53.85,7812000
2-Feb-04,54.10,54.98,54.15,54.69,11783500
3-Feb-04,54.69,55.15,54.50,55.01,8271400
4-Feb-04,54.95,55.95,54.92,55.39,11652600
5-Feb-04,56.25,56.25,56.25,56.25,0
6-Feb-04,56.31,57.59,56.21,57.58,15102200
9-Feb-04,57.05,57.54,57.04,57.32,8420600
10-Feb-04,57.15,57.60,56.82,57.53,9199800
11-Feb-04,57.53,58.90,56.91,57.07,10602500
12-Feb-04,56.98,56.98,56.98,56.98,0
