Date,Open,High,Low,Close,Volume
22-Sep-08,29.06,29.80,28.19,29.41,32163
23-Sep-08,29.48,29.88,28.49,28.57,58533
24-Sep-08,28.67,29.48,27.77,28.23,35999
25-Sep-08,28.42,29.43,28.09,28.14,38449
26-Sep-08,27.70,29.58,27.54,28.99,32137
29-Sep-08,28.48,29.49,27.48,27.49,22317
30-Sep-08,27.66,28.99,27.66,28.47,46284
1-Oct-08,28.33,29.32,27.06,28.96,29431
2-Oct-08,28.30,29.69,27.49,27.90,46085
3-Oct-08,28.23,29.40,27.15,27.20,31809
6-Oct-08,26.87,27.79,24.89,25.61,50766
7-Oct-08,25.86,26.95,23.76,23.95,31120
8-Oct-08,24.04,24.33,20.87,21.45,75590
9-Oct-08,21.82,21.82,18.64,18.64,54073
10-Oct-08,17.82,19.58,15.55,18.95,78813
13-Oct-08,17.15,21.56,17.15,21.27,71782
14-Oct-08,21.28,21.28,18.21,19.80,60698
15-Oct-08,19.49,20.91,17.74,17.84,40616
16-Oct-08,17.97,20.56,17.43,19.33,72157
17-Oct-08,18.47,23.76,18.46,18.77,54041
20-Oct-08,18.97,19.59,17.55,19.59,22468
21-Oct-08,19.23,19.28,18.05,18.28,41606
22-Oct-08,17.82,18.83,17.29,17.62,32197
23-Oct-08,17.83,18.30,16.61,17.55,26129
24-Oct-08,19.62,19.62,16.30,17.00,31271
27-Oct-08,16.80,17.75,15.37,16.53,27426
28-Oct-08,16.90,18.37,15.60,18.18,40630
29-Oct-08,18.55,19.60,18.01,18.56,43427
30-Oct-08,19.00,19.41,18.52,18.70,23947
31-Oct-08,18.53,22.89,18.53,21.70,44301
3-Nov-08,21.68,22.77,19.07,20.00,33953
4-Nov-08,20.79,22.49,19.05,19.33,33884
5-Nov-08,19.10,19.20,17.28,17.48,37568
6-Nov-08,17.37,17.99,16.96,17.53,17565
7-Nov-08,17.72,18.72,17.49,18.46,30772
10-Nov-08,18.84,19.19,17.30,17.37,24522
11-Nov-08,17.25,17.82,16.85,16.93,26591
12-Nov-08,16.63,16.98,15.45,15.45,20764
13-Nov-08,15.58,17.27,14.50,16.65,58101
14-Nov-08,16.35,16.50,15.19,15.31,27548
17-Nov-08,15.14,15.66,14.72,15.13,38465
18-Nov-08,15.21,16.50,14.05,15.60,29525
19-Nov-08,15.57,16.16,14.32,14.56,22811
20-Nov-08,14.45,15.03,12.81,13.03,31529
21-Nov-08,13.23,13.43,11.95,13.23,59823
24-Nov-08,13.39,17.32,12.32,17.22,57836
25-Nov-08,17.41,17.45,15.70,17.45,34219
26-Nov-08,16.94,19.96,15.42,19.64,41273
27-Nov-08,-,-,-,19.64,0
28-Nov-08,19.42,20.06,18.71,19.49,22045
1-Dec-08,18.88,18.90,14.91,14.91,43071
2-Dec-08,15.27,17.29,14.35,15.67,76468
3-Dec-08,15.23,17.69,14.79,17.60,33167
4-Dec-08,17.39,19.69,16.62,16.97,36171
5-Dec-08,16.66,17.59,15.86,17.41,35949
8-Dec-08,17.83,20.02,16.75,19.96,41177
9-Dec-08,20.42,21.43,17.91,17.93,50609
10-Dec-08,18.19,19.62,17.86,19.62,17302
11-Dec-08,18.94,19.93,18.05,18.27,57559
12-Dec-08,17.83,19.22,17.41,19.22,26952
15-Dec-08,19.22,19.22,17.40,17.58,20475
16-Dec-08,17.77,20.40,17.07,20.40,50074
17-Dec-08,20.11,21.47,19.14,20.68,36611
18-Dec-08,21.01,22.25,19.96,20.61,24237
19-Dec-08,21.63,23.99,19.91,21.27,163118
22-Dec-08,21.87,21.93,19.84,21.33,33798
23-Dec-08,21.54,21.86,20.39,21.12,28184
24-Dec-08,21.15,21.15,19.96,20.67,19816
25-Dec-08,-,-,-,20.67,0
26-Dec-08,22.85,22.85,20.21,21.47,11421
29-Dec-08,21.47,21.82,20.36,20.84,17026
30-Dec-08,21.14,21.64,20.19,21.63,21020
31-Dec-08,21.63,22.13,20.84,21.20,49167
1-Jan-09,-,-,-,21.20,0
2-Jan-09,21.27,21.94,20.90,21.61,26438
5-Jan-09,21.70,21.85,19.88,20.16,34660
6-Jan-09,20.38,21.93,19.55,21.85,53160
