Date,Open,High,Low,Close,Volume
22-Sep-08,11.14,11.22,10.40,10.50,1132485
23-Sep-08,10.49,10.52,9.75,9.94,695138
24-Sep-08,9.94,10.16,9.39,9.44,731719
25-Sep-08,9.42,9.58,9.30,9.32,451217
26-Sep-08,9.11,9.25,9.00,9.24,439844
29-Sep-08,9.08,9.11,8.61,8.62,691081
30-Sep-08,8.72,8.79,8.14,8.36,804164
1-Oct-08,8.23,8.35,8.12,8.26,442011
2-Oct-08,8.19,8.25,7.69,7.72,532597
3-Oct-08,7.85,8.24,7.64,7.65,724178
6-Oct-08,7.54,7.57,7.05,7.42,881353
7-Oct-08,7.21,7.53,6.81,6.81,654964
8-Oct-08,6.64,7.66,6.55,7.30,1201343
9-Oct-08,7.49,7.73,7.04,7.04,938149
10-Oct-08,6.63,7.27,6.51,6.96,1444192
13-Oct-08,7.23,7.80,7.18,7.61,606326
14-Oct-08,7.73,8.08,7.21,7.36,609434
15-Oct-08,7.26,7.38,6.60,6.61,378986
16-Oct-08,6.56,6.93,6.32,6.85,998839
17-Oct-08,6.65,7.58,6.65,7.11,744641
20-Oct-08,7.23,7.80,7.19,7.76,587116
21-Oct-08,7.63,7.92,7.37,7.74,628483
22-Oct-08,7.64,7.85,6.90,6.96,798322
23-Oct-08,6.94,7.01,6.32,6.70,1001516
24-Oct-08,6.21,6.90,6.12,6.46,804061
27-Oct-08,6.34,6.70,6.12,6.39,742294
28-Oct-08,6.55,6.79,6.05,6.45,689166
29-Oct-08,6.53,6.53,6.24,6.34,647817
30-Oct-08,6.51,6.58,6.07,6.53,528528
31-Oct-08,6.44,7.00,6.27,6.85,1034885
3-Nov-08,6.85,7.20,6.69,7.07,519756
4-Nov-08,7.26,7.40,7.00,7.14,517753
5-Nov-08,7.03,7.17,6.54,6.57,445934
6-Nov-08,6.50,6.71,6.01,6.01,525211
7-Nov-08,6.06,6.14,5.73,5.81,699234
10-Nov-08,5.92,5.94,5.55,5.58,402205
11-Nov-08,5.51,5.63,5.31,5.31,466815
12-Nov-08,5.14,5.20,4.04,4.05,1064407
13-Nov-08,4.05,4.16,3.52,4.14,1010224
14-Nov-08,4.05,4.09,3.63,3.66,763725
17-Nov-08,3.62,3.67,3.24,3.27,686672
18-Nov-08,3.25,3.27,2.89,2.98,735676
19-Nov-08,2.97,3.10,2.75,2.77,552475
20-Nov-08,2.75,2.92,2.56,2.58,861416
21-Nov-08,2.64,2.87,2.52,2.87,922708
24-Nov-08,2.93,3.20,2.84,3.19,386315
25-Nov-08,3.22,3.35,3.10,3.30,641633
26-Nov-08,3.22,3.83,3.20,3.82,467441
27-Nov-08,-,-,-,3.82,0
28-Nov-08,3.77,3.95,3.72,3.86,145458
1-Dec-08,3.59,3.83,3.59,3.71,770491
2-Dec-08,3.60,3.89,3.53,3.83,505555
3-Dec-08,3.75,4.46,3.72,4.37,500550
4-Dec-08,4.28,4.69,4.28,4.40,551931
5-Dec-08,4.30,4.60,4.09,4.60,623444
8-Dec-08,4.66,5.34,4.61,5.03,709103
9-Dec-08,5.07,5.44,4.79,5.08,649371
10-Dec-08,5.13,5.49,5.10,5.37,344193
11-Dec-08,5.26,5.76,5.08,5.14,402399
12-Dec-08,5.01,6.05,4.94,5.76,701479
15-Dec-08,5.76,5.76,5.17,5.31,342669
