Date,Open,High,Low,Close,Volume
22-Sep-08,9.95,10.10,9.41,9.67,75308
23-Sep-08,9.66,9.69,9.26,9.30,136011
24-Sep-08,9.37,10.08,8.91,8.97,155638
25-Sep-08,8.98,9.35,8.98,9.16,112440
26-Sep-08,9.14,9.28,8.82,9.06,152802
29-Sep-08,9.02,10.10,8.59,8.75,349013
30-Sep-08,8.83,9.23,8.75,8.88,148300
1-Oct-08,8.84,9.06,8.11,8.25,312036
2-Oct-08,8.36,8.40,7.80,7.83,263924
3-Oct-08,7.93,8.59,7.87,8.19,143864
6-Oct-08,8.05,8.30,7.65,8.05,130263
7-Oct-08,8.28,8.49,7.61,7.66,67574
8-Oct-08,7.61,8.08,7.20,7.44,498440
9-Oct-08,7.58,7.77,7.38,7.53,104879
10-Oct-08,7.30,7.50,5.79,7.46,160565
13-Oct-08,7.92,8.00,7.53,8.00,177572
14-Oct-08,8.18,8.20,7.25,7.89,88048
15-Oct-08,7.80,7.85,6.31,6.31,169957
16-Oct-08,6.35,6.99,6.05,6.81,80971
17-Oct-08,6.90,7.74,6.75,6.99,172699
20-Oct-08,7.34,8.17,6.89,7.02,111043
21-Oct-08,6.91,7.34,6.46,7.19,71793
22-Oct-08,7.07,7.40,6.75,6.81,78443
23-Oct-08,6.82,6.99,6.58,6.89,114351
24-Oct-08,6.42,7.27,6.41,7.00,153445
27-Oct-08,6.93,7.13,6.51,6.58,126703
28-Oct-08,6.71,7.15,6.56,7.15,135312
29-Oct-08,7.19,7.59,6.86,7.11,168254
30-Oct-08,7.30,7.50,6.85,6.90,235584
31-Oct-08,6.85,7.00,6.40,6.53,1028904
3-Nov-08,6.54,6.95,6.35,6.88,157155
4-Nov-08,7.05,7.21,6.83,7.14,92535
5-Nov-08,7.05,7.49,7.05,7.22,82243
6-Nov-08,7.31,7.45,7.06,7.25,96679
7-Nov-08,7.45,7.45,6.63,6.88,77400
10-Nov-08,7.04,7.20,6.68,6.69,50215
11-Nov-08,6.67,7.33,6.67,6.93,60749
12-Nov-08,6.82,6.82,5.97,6.02,164198
13-Nov-08,6.04,6.24,5.55,6.22,225753
14-Nov-08,6.14,6.38,5.90,5.90,118940
17-Nov-08,5.87,6.24,5.65,6.11,39395
18-Nov-08,5.90,6.40,5.90,6.07,88767
19-Nov-08,6.06,6.37,5.90,6.00,150534
20-Nov-08,6.37,6.37,5.54,5.55,301755
21-Nov-08,5.66,6.15,5.46,5.90,266320
24-Nov-08,6.08,6.10,5.62,6.01,167006
25-Nov-08,6.09,6.13,5.46,5.93,107724
26-Nov-08,5.83,6.45,5.83,6.42,108874
27-Nov-08,-,-,-,6.42,0
28-Nov-08,6.50,6.71,6.50,6.66,16480
1-Dec-08,6.49,6.64,5.58,5.62,147644
2-Dec-08,5.74,6.57,5.60,6.07,106526
3-Dec-08,5.92,6.00,5.71,5.84,58211
4-Dec-08,5.76,6.02,5.75,5.85,215269
5-Dec-08,5.75,5.84,5.46,5.60,98286
8-Dec-08,5.73,6.06,5.66,5.90,68323
9-Dec-08,5.85,5.97,5.35,5.50,85947
10-Dec-08,5.57,5.93,5.54,5.74,32491
11-Dec-08,5.64,5.68,5.40,5.40,115803
12-Dec-08,5.30,5.69,5.07,5.21,67747
15-Dec-08,5.26,5.36,4.83,4.84,72305
16-Dec-08,4.94,5.00,4.39,5.00,115843
17-Dec-08,7.50,7.93,6.21,6.40,3677549
18-Dec-08,6.49,6.99,5.50,6.90,891188
19-Dec-08,7.00,7.25,6.88,7.06,753478
22-Dec-08,7.12,7.20,6.95,7.11,154348
23-Dec-08,7.15,7.25,7.03,7.08,80725
24-Dec-08,7.24,7.25,7.02,7.22,49381
25-Dec-08,-,-,-,7.22,0
26-Dec-08,7.24,7.50,7.12,7.50,63889
29-Dec-08,7.50,7.50,7.02,7.32,145537
30-Dec-08,7.40,7.49,7.04,7.32,108474
31-Dec-08,7.36,7.50,6.97,7.23,188807
1-Jan-09,-,-,-,7.23,0
2-Jan-09,7.33,7.50,7.17,7.40,164615
5-Jan-09,7.43,7.43,7.06,7.34,101000
6-Jan-09,7.43,7.43,7.01,7.28,86450
7-Jan-09,7.20,7.44,6.92,7.04,90774
8-Jan-09,7.07,7.23,7.00,7.11,102019
9-Jan-09,7.10,7.10,6.51,6.60,87111
12-Jan-09,6.57,6.87,6.52,6.67,74727
13-Jan-09,6.65,6.90,6.60,6.77,165959
14-Jan-09,6.73,6.73,6.26,6.37,89878
15-Jan-09,6.36,6.87,6.23,6.87,103623
16-Jan-09,6.89,6.97,6.51,6.93,67492
20-Jan-09,6.88,6.88,6.17,6.17,182385
21-Jan-09,6.21,6.67,6.03,6.63,74384
22-Jan-09,6.50,6.92,6.42,6.74,147228
23-Jan-09,6.71,6.86,6.57,6.74,83896
26-Jan-09,6.78,7.33,6.78,7.16,57595
27-Jan-09,7.36,7.49,7.07,7.40,133854
28-Jan-09,7.47,7.85,7.30,7.78,300914
29-Jan-09,7.70,7.91,7.39,7.73,179081
30-Jan-09,7.77,7.91,7.17,7.20,71664
2-Feb-09,7.10,7.50,7.01,7.26,98179
3-Feb-09,7.29,7.50,6.96,7.45,138544
4-Feb-09,7.45,7.73,7.22,7.45,49752
5-Feb-09,7.39,7.50,7.10,7.31,87568
6-Feb-09,7.33,7.83,7.33,7.82,111516
9-Feb-09,7.77,7.98,7.68,7.98,103203
10-Feb-09,7.95,7.95,7.43,7.50,116384
11-Feb-09,7.55,7.63,7.47,7.55,143273
12-Feb-09,7.50,7.54,7.23,7.49,129877
13-Feb-09,7.50,7.51,7.07,7.15,45003
17-Feb-09,7.01,7.61,6.91,7.53,293502
18-Feb-09,7.55,7.55,7.22,7.43,76651
19-Feb-09,7.52,7.58,7.40,7.40,80543
20-Feb-09,7.33,7.53,7.03,7.05,69947
23-Feb-09,7.12,7.39,6.98,7.02,118212
24-Feb-09,7.12,7.30,7.07,7.15,66313
25-Feb-09,7.14,7.21,6.66,6.88,180565
26-Feb-09,6.95,7.10,6.65,6.68,89567
27-Feb-09,6.61,7.04,6.35,6.38,109151
2-Mar-09,6.31,6.49,5.92,5.97,121585
3-Mar-09,6.02,6.17,5.68,5.92,225292
4-Mar-09,5.99,6.02,5.78,5.97,160175
5-Mar-09,5.90,6.08,5.78,5.92,377481
6-Mar-09,5.96,5.96,5.72,5.83,110941
9-Mar-09,5.79,5.96,5.72,5.74,69227
10-Mar-09,5.87,6.11,5.73,6.04,352942
11-Mar-09,6.05,6.23,6.00,6.00,458622
12-Mar-09,6.01,6.27,5.99,6.20,218642
13-Mar-09,6.31,7.54,6.31,7.39,2885292
16-Mar-09,7.44,7.91,7.36,7.57,350286
17-Mar-09,7.53,8.47,7.50,8.41,408437
18-Mar-09,8.40,8.54,8.23,8.35,151111
19-Mar-09,8.36,8.73,8.27,8.65,311093
20-Mar-09,8.73,8.76,8.29,8.40,200304
