Date,Open,High,Low,Close,Volume
22-Sep-08,6.05,6.21,6.00,6.06,11998
23-Sep-08,6.15,6.15,5.96,6.00,14726
24-Sep-08,5.96,6.15,5.90,6.06,10774
25-Sep-08,6.02,6.15,6.02,6.10,3400
26-Sep-08,6.00,6.09,5.85,6.09,5871
29-Sep-08,6.00,6.00,5.45,5.55,19436
30-Sep-08,5.51,5.80,5.47,5.80,13810
1-Oct-08,5.79,6.09,5.75,6.09,13415
2-Oct-08,6.05,6.05,5.90,5.90,8700
3-Oct-08,5.92,5.98,5.52,5.53,11620
6-Oct-08,5.32,5.32,4.17,4.45,150004
7-Oct-08,5.00,5.00,4.13,4.13,25658
8-Oct-08,4.00,4.27,3.43,3.85,41627
9-Oct-08,4.04,4.32,3.50,3.50,27858
10-Oct-08,3.45,4.17,3.45,3.64,25122
13-Oct-08,3.94,4.41,3.94,4.26,29927
14-Oct-08,4.44,4.44,4.15,4.28,23332
15-Oct-08,4.36,4.36,4.00,4.03,7030
16-Oct-08,4.45,4.45,3.81,4.30,8374
17-Oct-08,4.40,4.40,4.00,4.28,6752
20-Oct-08,4.79,5.17,4.50,4.78,56745
21-Oct-08,4.72,4.72,4.59,4.59,2119
22-Oct-08,4.50,4.50,4.30,4.43,8593
23-Oct-08,4.22,4.31,4.12,4.15,2056
24-Oct-08,3.90,4.80,3.50,3.83,27290
27-Oct-08,3.70,4.13,3.55,4.12,25578
28-Oct-08,4.15,4.24,4.01,4.22,7066
29-Oct-08,4.44,4.44,4.30,4.44,3915
30-Oct-08,4.44,5.05,4.44,4.67,9732
31-Oct-08,4.75,4.77,4.20,4.61,13392
3-Nov-08,4.67,4.69,4.67,4.67,8255
4-Nov-08,4.97,5.26,4.95,5.10,8443
5-Nov-08,5.20,5.29,4.98,5.08,11911
6-Nov-08,4.99,4.99,4.81,4.88,4071
7-Nov-08,4.80,5.12,4.75,4.75,28802
10-Nov-08,4.90,4.90,4.60,4.79,12548
11-Nov-08,5.08,5.42,4.79,5.22,20667
12-Nov-08,5.19,5.19,4.65,4.65,15093
13-Nov-08,4.61,4.95,4.26,4.90,16915
14-Nov-08,5.00,5.00,4.46,4.59,7270
