Date,Open,High,Low,Close,Volume
22-Sep-08,20.84,21.49,19.68,20.20,24239
23-Sep-08,19.80,20.84,18.00,20.48,23594
24-Sep-08,20.08,20.48,19.80,20.48,25476
25-Sep-08,20.44,21.52,20.24,21.32,22348
26-Sep-08,21.20,21.20,19.72,20.40,21636
29-Sep-08,19.76,19.96,18.40,18.84,29251
30-Sep-08,18.44,19.16,17.96,18.88,26859
1-Oct-08,18.36,19.64,18.20,19.64,11972
2-Oct-08,19.04,20.00,18.84,20.00,14046
3-Oct-08,19.72,20.44,18.80,19.89,11977
6-Oct-08,17.88,18.76,17.12,18.44,33002
7-Oct-08,18.24,18.68,17.07,17.28,31929
8-Oct-08,16.40,16.76,13.32,16.40,67220
9-Oct-08,15.20,16.00,14.76,15.40,45562
10-Oct-08,13.00,15.36,8.96,15.20,63792
13-Oct-08,17.32,17.84,16.08,17.56,14484
14-Oct-08,17.68,18.04,17.04,18.04,15598
15-Oct-08,16.88,17.52,16.40,17.20,13663
16-Oct-08,16.96,17.60,16.68,17.52,17918
17-Oct-08,17.16,18.68,17.04,18.40,12801
20-Oct-08,18.68,18.68,18.40,18.63,7273
21-Oct-08,18.28,18.80,17.60,18.80,11378
22-Oct-08,18.68,18.72,17.40,18.36,14244
23-Oct-08,18.72,18.72,16.96,17.80,18516
24-Oct-08,16.48,18.00,16.40,17.84,8172
27-Oct-08,18.40,18.72,17.44,18.00,8959
28-Oct-08,18.80,18.80,17.80,18.24,6363
29-Oct-08,19.16,20.00,17.76,19.40,23426
30-Oct-08,20.80,20.92,19.78,19.82,8433
31-Oct-08,19.92,20.28,19.16,20.20,4949
3-Nov-08,20.20,20.56,19.48,20.48,8265
4-Nov-08,20.68,20.68,20.04,20.36,4858
5-Nov-08,20.20,20.36,19.64,19.84,8708
6-Nov-08,19.80,20.36,18.36,19.88,8210
7-Nov-08,19.56,20.04,18.72,19.88,7370
10-Nov-08,20.32,20.40,19.24,19.64,8361
11-Nov-08,19.64,19.64,18.24,18.24,10457
