Date,Open,High,Low,Close,Volume
22-Sep-08,13.71,14.47,13.40,13.43,952161
23-Sep-08,13.30,13.42,12.37,12.41,939377
24-Sep-08,12.50,12.71,11.90,12.44,1205466
25-Sep-08,12.20,12.55,12.13,12.44,885001
26-Sep-08,12.09,12.29,11.77,12.11,1305656
29-Sep-08,11.79,11.97,10.87,11.33,1818559
30-Sep-08,11.30,11.62,11.21,11.60,1137476
1-Oct-08,11.75,11.77,10.78,11.14,1068647
2-Oct-08,11.05,11.10,9.65,9.82,1465545
3-Oct-08,9.78,10.45,9.70,9.91,1477424
6-Oct-08,9.45,9.45,7.61,8.06,2246390
7-Oct-08,8.27,8.27,6.55,6.78,2681251
8-Oct-08,6.51,6.84,5.64,6.27,4216797
9-Oct-08,6.57,6.85,5.92,5.92,2138767
10-Oct-08,5.89,6.16,4.29,4.90,3959191
13-Oct-08,5.40,6.44,5.35,6.38,2295335
14-Oct-08,6.65,7.75,6.65,7.15,4573736
15-Oct-08,6.98,7.17,5.90,6.00,2566035
16-Oct-08,5.79,6.29,5.51,6.29,2080346
17-Oct-08,6.27,6.29,5.51,6.06,2369382
20-Oct-08,6.23,6.83,6.15,6.70,1516273
21-Oct-08,6.50,6.74,6.11,6.31,1498289
22-Oct-08,6.24,6.24,5.11,5.17,2181849
23-Oct-08,5.17,5.52,4.97,5.21,1448383
24-Oct-08,4.76,5.22,4.75,5.16,1777366
27-Oct-08,4.91,5.13,4.43,4.43,1509612
28-Oct-08,4.75,4.89,4.25,4.74,2205974
29-Oct-08,4.78,5.49,4.65,5.40,1319958
30-Oct-08,5.67,6.09,5.31,6.09,1492145
31-Oct-08,5.83,6.46,5.83,6.20,1748880
3-Nov-08,6.30,6.50,5.67,5.80,1171166
4-Nov-08,6.04,6.48,5.99,6.48,1973008
5-Nov-08,6.37,6.57,6.10,6.16,1259907
6-Nov-08,6.16,6.60,5.33,5.65,2098214
7-Nov-08,5.66,5.88,5.40,5.74,1022764
10-Nov-08,5.91,6.04,5.47,5.58,970119
11-Nov-08,5.50,5.61,5.19,5.30,956836
12-Nov-08,5.17,5.34,4.26,4.46,2325487
13-Nov-08,4.58,5.29,4.15,5.29,2222452
14-Nov-08,5.10,5.32,4.83,4.89,1290119
17-Nov-08,4.94,4.94,4.52,4.57,609821
18-Nov-08,4.70,4.70,4.14,4.50,931056
19-Nov-08,4.45,4.49,4.00,4.02,1703534
20-Nov-08,3.95,4.34,3.58,3.58,2826147
21-Nov-08,3.60,4.23,3.53,4.21,1516375
24-Nov-08,4.37,4.66,4.09,4.66,1721175
25-Nov-08,4.76,4.76,3.96,3.96,4103287
26-Nov-08,4.00,4.79,3.87,4.73,1767775
27-Nov-08,-,-,-,4.73,0
28-Nov-08,4.72,4.80,4.56,4.75,461772
1-Dec-08,4.43,4.50,3.88,3.88,1794031
2-Dec-08,4.09,4.20,3.78,3.82,2882716
3-Dec-08,3.89,4.34,3.75,4.29,1527904
4-Dec-08,4.24,4.30,3.80,3.87,1243358
5-Dec-08,3.79,4.08,3.74,3.98,1032804
8-Dec-08,4.22,4.70,4.20,4.63,1218034
9-Dec-08,4.67,5.00,4.52,4.72,1028368
10-Dec-08,4.93,5.13,4.75,4.94,1064527
11-Dec-08,4.92,5.12,4.33,4.41,1094396
12-Dec-08,4.44,4.71,4.09,4.65,1025924
15-Dec-08,4.76,5.01,4.50,4.59,1246685
16-Dec-08,4.75,4.95,4.58,4.93,1200176
17-Dec-08,4.81,4.98,4.70,4.80,1011610
18-Dec-08,4.80,4.86,4.45,4.47,889551
19-Dec-08,4.72,4.75,4.42,4.42,1474477
22-Dec-08,4.48,4.55,3.96,4.09,1602346
23-Dec-08,4.10,4.19,3.75,3.92,1698425
24-Dec-08,3.77,3.89,3.61,3.79,722494
25-Dec-08,-,-,-,3.79,0
26-Dec-08,3.77,4.11,3.77,4.11,894993
29-Dec-08,4.26,4.29,3.98,4.09,1487750
30-Dec-08,4.24,4.24,3.95,4.24,1029161
31-Dec-08,4.20,4.58,4.05,4.41,1445311
1-Jan-09,-,-,-,4.41,0
2-Jan-09,4.49,4.75,4.46,4.66,1440395
5-Jan-09,4.75,5.05,4.60,5.01,1295375
6-Jan-09,5.09,5.47,5.09,5.38,1652040
7-Jan-09,5.36,5.36,4.96,5.13,1337527
8-Jan-09,5.27,5.30,4.92,5.02,1254398
9-Jan-09,5.04,5.09,4.27,4.41,2242536
12-Jan-09,4.30,4.44,3.98,4.01,1596625
13-Jan-09,4.00,4.21,3.96,4.07,1115782
14-Jan-09,4.02,4.15,3.62,3.79,2040987
15-Jan-09,3.79,3.92,3.61,3.87,1055544
16-Jan-09,4.01,4.01,3.75,3.82,519899
20-Jan-09,3.89,3.90,3.36,3.36,930830
21-Jan-09,3.50,3.77,3.36,3.77,2180414
22-Jan-09,3.75,3.75,3.30,3.30,1335022
23-Jan-09,3.28,3.97,3.20,3.72,1705691
26-Jan-09,3.84,3.90,3.61,3.77,890307
27-Jan-09,3.77,3.90,3.61,3.68,857808
28-Jan-09,3.80,3.91,3.70,3.91,750792
29-Jan-09,3.90,3.90,3.49,3.51,775256
30-Jan-09,3.52,3.67,3.41,3.41,691749
2-Feb-09,3.40,3.41,3.21,3.22,1008674
3-Feb-09,3.30,3.30,3.08,3.20,1012178
4-Feb-09,3.18,3.51,3.18,3.42,1319144
