Date,Open,High,Low,Close,Volume
22-Sep-08,2.08,2.12,1.95,1.99,253051
23-Sep-08,1.99,2.04,1.72,1.74,348921
24-Sep-08,1.77,1.85,1.75,1.77,307646
25-Sep-08,1.75,1.83,1.75,1.75,265554
26-Sep-08,1.77,1.80,1.75,1.78,415082
29-Sep-08,1.78,1.87,1.74,1.76,520537
30-Sep-08,1.77,1.80,1.73,1.78,304959
1-Oct-08,1.76,1.79,1.70,1.74,290885
2-Oct-08,1.81,1.81,1.56,1.57,395976
3-Oct-08,1.55,1.59,1.20,1.20,493979
6-Oct-08,1.22,1.23,0.92,1.08,749092
7-Oct-08,1.09,1.14,0.90,0.91,460390
8-Oct-08,0.88,1.01,0.88,0.93,427752
9-Oct-08,1.05,1.14,0.91,0.91,432229
10-Oct-08,0.88,0.98,0.74,0.96,925805
13-Oct-08,1.05,1.35,0.80,1.35,562167
14-Oct-08,1.43,1.47,1.23,1.31,359910
15-Oct-08,1.30,1.32,1.04,1.08,1250749
16-Oct-08,1.08,1.28,1.03,1.27,715955
17-Oct-08,1.24,1.57,1.12,1.22,448892
20-Oct-08,1.24,1.50,1.21,1.42,475472
21-Oct-08,1.49,1.60,1.41,1.57,372684
22-Oct-08,1.53,1.66,1.44,1.48,326111
23-Oct-08,1.49,1.62,1.26,1.38,147171
24-Oct-08,1.28,1.39,1.20,1.31,82666
27-Oct-08,1.30,1.33,1.11,1.14,128734
28-Oct-08,1.16,1.41,1.09,1.39,200101
29-Oct-08,1.42,1.50,1.26,1.35,317410
30-Oct-08,1.35,1.47,1.26,1.40,256953
31-Oct-08,1.40,1.58,1.40,1.57,406399
3-Nov-08,1.56,1.72,1.45,1.68,130014
4-Nov-08,1.67,1.84,1.57,1.75,283966
5-Nov-08,1.75,1.83,1.70,1.71,249742
6-Nov-08,1.69,1.74,1.65,1.70,193173
7-Nov-08,1.70,1.70,1.65,1.65,165565
10-Nov-08,1.68,1.75,1.57,1.65,276442
11-Nov-08,1.65,1.72,1.57,1.59,166924
12-Nov-08,1.58,1.60,1.38,1.38,109196
13-Nov-08,1.38,1.63,1.31,1.49,238292
14-Nov-08,1.47,1.64,1.30,1.30,123895
17-Nov-08,1.30,1.48,1.30,1.30,235272
18-Nov-08,1.30,1.43,1.21,1.39,141764
19-Nov-08,1.39,1.41,1.14,1.17,191128
20-Nov-08,1.26,1.33,1.06,1.06,370922
21-Nov-08,1.07,1.22,0.93,1.22,522231
24-Nov-08,1.23,1.42,1.17,1.42,330509
25-Nov-08,1.40,1.45,1.15,1.25,278107
26-Nov-08,1.22,1.51,1.21,1.51,171853
27-Nov-08,-,-,-,1.51,0
28-Nov-08,1.49,1.71,1.43,1.71,67186
1-Dec-08,1.66,1.84,1.59,1.69,741852
2-Dec-08,1.72,1.75,1.65,1.75,218966
3-Dec-08,1.71,1.82,1.69,1.81,385818
4-Dec-08,1.78,1.85,1.70,1.72,164907
5-Dec-08,1.69,1.78,1.62,1.75,148912
8-Dec-08,1.76,1.78,1.62,1.77,312056
9-Dec-08,1.78,1.90,1.68,1.71,214593
10-Dec-08,1.73,1.84,1.70,1.75,133241
11-Dec-08,1.71,1.80,1.63,1.63,184308
12-Dec-08,1.50,1.53,1.41,1.52,229135
15-Dec-08,1.52,1.52,1.30,1.45,135927
16-Dec-08,1.50,1.50,1.35,1.45,377880
17-Dec-08,1.43,1.51,1.42,1.44,213766
18-Dec-08,1.49,1.60,1.35,1.50,241227
19-Dec-08,1.58,1.60,1.42,1.60,605904
22-Dec-08,1.55,1.57,1.22,1.36,233560
23-Dec-08,1.37,1.41,1.19,1.32,147542
24-Dec-08,1.32,1.38,1.29,1.35,27847
25-Dec-08,-,-,-,1.35,0
26-Dec-08,1.35,1.42,1.31,1.39,52691
29-Dec-08,1.38,1.45,1.11,1.20,135069
30-Dec-08,1.22,1.30,1.22,1.26,118356
31-Dec-08,1.26,1.43,1.19,1.40,248553
1-Jan-09,-,-,-,1.40,0
2-Jan-09,1.40,1.52,1.29,1.44,188568
5-Jan-09,1.45,1.49,1.26,1.47,113984
6-Jan-09,1.48,1.59,1.47,1.58,82565
7-Jan-09,1.55,1.59,1.50,1.52,53573
8-Jan-09,1.51,1.61,1.48,1.61,62175
9-Jan-09,1.61,1.61,1.35,1.36,99958
12-Jan-09,1.36,1.45,1.30,1.30,82156
13-Jan-09,1.30,1.45,1.30,1.44,94574
14-Jan-09,1.41,1.41,1.23,1.24,183222
