Date,Open,High,Low,Close,Volume
22-Sep-08,1.35,1.59,1.20,1.37,1369107
23-Sep-08,1.28,1.37,1.21,1.31,895902
24-Sep-08,1.32,1.35,1.21,1.21,537356
25-Sep-08,1.24,1.28,1.21,1.25,447734
26-Sep-08,1.24,1.38,1.22,1.29,646315
29-Sep-08,1.35,1.42,1.10,1.42,768896
30-Sep-08,1.40,1.40,1.11,1.32,497369
1-Oct-08,1.30,1.30,1.16,1.22,499353
2-Oct-08,1.29,1.29,0.90,1.00,789572
3-Oct-08,1.02,1.18,0.96,1.00,459173
6-Oct-08,1.12,1.12,0.80,0.91,786438
7-Oct-08,0.99,1.00,0.82,0.85,440582
8-Oct-08,0.89,0.89,0.72,0.87,624828
9-Oct-08,0.90,0.96,0.80,0.85,339012
10-Oct-08,0.89,0.89,0.71,0.75,794980
13-Oct-08,0.80,0.82,0.72,0.79,394449
14-Oct-08,0.85,0.92,0.80,0.87,355417
15-Oct-08,0.90,0.90,0.66,0.66,525554
16-Oct-08,0.71,0.76,0.64,0.64,1057120
17-Oct-08,0.66,0.70,0.62,0.64,908187
20-Oct-08,0.67,0.68,0.61,0.64,482297
21-Oct-08,0.63,0.64,0.58,0.63,521103
22-Oct-08,0.66,0.66,0.52,0.52,659575
23-Oct-08,0.52,0.63,0.43,0.44,1033598
24-Oct-08,0.44,0.63,0.38,0.50,855703
27-Oct-08,0.53,0.59,0.49,0.50,485960
28-Oct-08,0.48,0.66,0.48,0.50,394379
29-Oct-08,0.55,0.61,0.52,0.58,454156
30-Oct-08,0.65,0.74,0.64,0.69,423237
31-Oct-08,0.69,0.75,0.68,0.70,386245
3-Nov-08,0.73,0.75,0.71,0.73,312194
4-Nov-08,0.76,0.84,0.76,0.82,485038
5-Nov-08,0.85,0.85,0.71,0.80,545017
6-Nov-08,0.82,1.08,0.81,1.00,626812
7-Nov-08,1.00,1.17,0.85,0.89,784592
10-Nov-08,0.99,1.00,0.82,0.91,334702
11-Nov-08,0.90,0.97,0.85,0.92,232586
12-Nov-08,0.94,0.94,0.78,0.81,226947
13-Nov-08,0.78,0.87,0.77,0.85,310823
14-Nov-08,0.86,0.87,0.84,0.84,339198
17-Nov-08,0.87,0.87,0.79,0.83,182706
18-Nov-08,0.81,0.88,0.77,0.77,212446
19-Nov-08,0.80,0.84,0.75,0.80,344811
