Date,Open,High,Low,Close,Volume
22-Sep-08,16.76,17.18,16.25,16.66,6272
23-Sep-08,16.68,16.84,16.35,16.65,5700
24-Sep-08,16.65,17.02,16.65,17.02,1600
25-Sep-08,16.57,17.05,16.33,17.00,3600
26-Sep-08,16.51,17.19,16.45,17.10,5092
29-Sep-08,16.70,16.85,16.00,16.00,7000
30-Sep-08,16.00,16.24,16.00,16.00,4170
1-Oct-08,16.22,16.25,16.00,16.00,3000
2-Oct-08,16.01,16.05,16.01,16.05,1842
3-Oct-08,16.02,16.02,16.00,16.00,2000
6-Oct-08,16.00,16.00,15.25,15.50,13000
7-Oct-08,15.75,15.95,14.52,15.80,9700
8-Oct-08,15.50,15.88,15.50,15.85,7200
9-Oct-08,15.35,15.90,14.97,15.75,10400
10-Oct-08,15.90,16.15,15.70,16.15,8100
13-Oct-08,16.35,16.35,14.89,16.00,10500
14-Oct-08,16.22,16.46,16.20,16.20,1100
15-Oct-08,16.00,16.00,15.63,15.82,2125
16-Oct-08,15.40,16.00,15.30,15.90,21600
17-Oct-08,16.12,16.61,15.49,15.49,7300
20-Oct-08,15.51,16.00,15.51,16.00,16078
21-Oct-08,16.25,16.25,16.00,16.03,2500
22-Oct-08,17.23,17.23,15.76,15.76,1800
23-Oct-08,15.85,15.85,14.94,15.13,4158
24-Oct-08,14.93,15.36,14.85,14.85,2700
27-Oct-08,14.67,15.00,14.37,14.64,11300
28-Oct-08,14.40,14.42,14.08,14.08,1100
29-Oct-08,14.05,14.30,14.04,14.30,600
30-Oct-08,14.49,15.00,14.25,15.00,2600
31-Oct-08,15.00,15.00,15.00,15.00,600
3-Nov-08,14.78,14.78,13.27,14.25,6468
4-Nov-08,14.11,14.74,14.11,14.74,2400
5-Nov-08,14.65,14.65,14.52,14.52,300
6-Nov-08,14.70,14.70,14.60,14.70,2307
7-Nov-08,14.70,14.70,14.59,14.59,1200
10-Nov-08,14.61,14.98,14.36,14.80,3000
11-Nov-08,14.68,14.68,14.49,14.53,4300
12-Nov-08,14.27,14.27,14.03,14.03,2800
13-Nov-08,14.00,14.00,14.00,14.00,1800
14-Nov-08,13.95,13.95,13.85,13.95,700
17-Nov-08,13.50,13.50,12.00,12.50,18188
18-Nov-08,12.20,12.48,11.84,12.30,3800
19-Nov-08,12.30,12.30,11.00,11.35,7100
20-Nov-08,11.13,11.81,10.10,10.10,6904
21-Nov-08,10.55,10.85,10.20,10.50,20191
24-Nov-08,11.50,12.50,11.00,12.00,25665
25-Nov-08,11.78,11.79,11.78,11.79,700
26-Nov-08,11.99,12.20,11.78,11.78,3100
27-Nov-08,-,-,-,11.78,0
28-Nov-08,12.00,12.00,12.00,12.00,100
1-Dec-08,11.88,11.88,11.52,11.75,4200
2-Dec-08,11.90,12.50,11.31,11.37,6100
3-Dec-08,11.52,11.52,11.33,11.40,4000
4-Dec-08,11.56,12.13,11.56,12.13,2200
5-Dec-08,12.00,12.00,12.00,12.00,100
8-Dec-08,12.22,12.50,12.22,12.50,3356
9-Dec-08,12.48,12.60,12.10,12.30,3700
10-Dec-08,12.52,12.90,12.25,12.90,2652
11-Dec-08,13.83,13.83,13.10,13.54,3200
12-Dec-08,13.10,13.40,13.10,13.40,400
15-Dec-08,13.01,13.06,12.92,13.05,3700
16-Dec-08,13.01,13.01,13.01,13.01,200
17-Dec-08,12.75,13.67,12.75,13.67,3100
18-Dec-08,13.40,13.72,13.05,13.05,5400
19-Dec-08,13.42,13.94,13.42,13.94,3700
22-Dec-08,13.94,13.95,13.94,13.94,1800
23-Dec-08,13.66,13.66,13.23,13.64,2050
24-Dec-08,13.50,13.88,13.49,13.51,3300
25-Dec-08,-,-,-,13.51,0
26-Dec-08,13.07,13.07,13.01,13.01,1300
29-Dec-08,12.85,12.96,12.76,12.96,2331
30-Dec-08,12.84,13.26,12.82,13.26,2387
31-Dec-08,13.62,13.80,13.55,13.80,1500
1-Jan-09,-,-,-,13.80,0
2-Jan-09,13.85,14.64,13.85,14.64,3748
5-Jan-09,14.75,15.05,14.20,14.60,4593
6-Jan-09,14.76,15.11,14.76,15.00,1400
7-Jan-09,15.20,15.31,14.75,15.21,3650
8-Jan-09,15.43,15.80,15.07,15.50,3300
9-Jan-09,15.50,16.26,15.04,15.25,12025
12-Jan-09,15.45,15.67,15.30,15.30,7575
13-Jan-09,15.25,15.52,15.20,15.35,17200
14-Jan-09,15.29,15.35,15.18,15.20,3117
15-Jan-09,14.98,14.98,14.21,14.98,4626
16-Jan-09,14.58,14.90,14.55,14.90,5700
20-Jan-09,14.71,15.10,14.71,14.90,8300
21-Jan-09,14.75,15.49,14.63,15.30,2550
22-Jan-09,15.40,15.40,15.40,15.40,100
23-Jan-09,15.49,15.60,15.49,15.58,5600
26-Jan-09,15.36,15.75,15.29,15.75,4400
27-Jan-09,15.75,16.20,15.55,16.20,4272
28-Jan-09,16.25,16.45,16.12,16.45,6000
29-Jan-09,16.43,17.05,15.85,15.85,7408
30-Jan-09,16.12,16.12,16.12,16.12,100
2-Feb-09,16.00,16.00,15.90,15.90,500
3-Feb-09,15.91,16.11,15.80,16.11,3490
4-Feb-09,16.00,16.19,15.89,16.18,1300
5-Feb-09,16.10,16.18,16.10,16.18,400
6-Feb-09,16.00,16.04,16.00,16.04,2166
9-Feb-09,16.25,16.25,16.25,16.25,200
10-Feb-09,16.06,16.06,16.06,16.06,400
11-Feb-09,16.14,16.14,16.14,16.14,100
12-Feb-09,16.14,16.25,16.01,16.25,2853
13-Feb-09,16.10,16.53,16.10,16.18,2800
17-Feb-09,16.18,16.18,15.81,15.81,4677
18-Feb-09,15.80,16.12,15.55,15.67,6000
19-Feb-09,15.55,15.93,15.45,15.45,3600
20-Feb-09,15.23,15.37,14.99,15.25,1100
23-Feb-09,15.00,15.00,14.10,14.18,2400
24-Feb-09,14.01,14.02,13.52,14.02,4400
25-Feb-09,14.05,14.05,13.46,13.70,3400
26-Feb-09,13.71,14.39,13.33,14.25,7067
27-Feb-09,13.75,14.25,13.47,14.25,4292
2-Mar-09,13.75,13.95,13.28,13.28,3600
3-Mar-09,13.51,13.72,12.12,12.17,9952
4-Mar-09,12.24,13.43,12.01,13.16,7635
5-Mar-09,13.69,13.69,12.59,12.59,4341
6-Mar-09,12.55,12.73,12.00,12.00,8059
9-Mar-09,11.85,12.40,11.60,12.16,804918
10-Mar-09,12.25,12.58,11.71,12.55,28025
11-Mar-09,12.91,13.00,12.56,12.56,4871
12-Mar-09,12.66,14.00,12.66,13.90,6446
13-Mar-09,13.60,13.71,13.50,13.54,5087
16-Mar-09,13.68,13.99,13.25,13.40,13390
17-Mar-09,13.40,14.00,13.34,13.98,5910
18-Mar-09,14.20,14.20,13.61,14.20,15500
19-Mar-09,14.28,16.25,14.28,14.89,7879
20-Mar-09,14.68,14.94,14.33,14.58,6550
23-Mar-09,14.70,14.75,14.65,14.70,20431
24-Mar-09,14.70,15.19,14.69,14.77,52300
25-Mar-09,14.77,15.24,14.77,15.19,34890
26-Mar-09,15.02,15.21,14.95,15.06,26900
27-Mar-09,15.00,15.00,14.78,14.89,42600
30-Mar-09,14.86,14.86,14.50,14.85,46739
31-Mar-09,14.85,16.00,14.85,15.35,8632
1-Apr-09,15.60,15.77,15.42,15.48,6400
2-Apr-09,15.77,16.25,15.00,15.60,32900
3-Apr-09,15.81,16.01,15.50,16.01,11613
6-Apr-09,16.19,16.19,15.76,15.76,3000
7-Apr-09,15.64,15.76,15.55,15.71,3292
8-Apr-09,15.74,15.74,15.50,15.60,4900
9-Apr-09,15.52,15.71,15.52,15.57,1077
10-Apr-09,-,-,-,15.57,0
13-Apr-09,15.59,15.86,15.59,15.71,4941
14-Apr-09,15.84,16.10,15.71,15.82,3700
15-Apr-09,15.75,16.08,15.75,15.84,1800
16-Apr-09,16.04,16.10,15.87,15.87,2900
17-Apr-09,15.99,16.01,15.90,16.01,2316
20-Apr-09,15.90,15.95,15.70,15.70,4210
21-Apr-09,15.61,15.69,15.52,15.60,3700
22-Apr-09,15.60,15.66,15.51,15.51,7600
23-Apr-09,15.52,15.73,15.50,15.65,10154
24-Apr-09,15.74,15.75,15.74,15.75,11870
27-Apr-09,15.75,15.75,15.73,15.73,2381
28-Apr-09,15.74,15.74,15.65,15.65,7653
29-Apr-09,15.75,15.75,15.61,15.65,5460
30-Apr-09,15.61,15.70,15.61,15.65,6750
1-May-09,15.74,15.75,15.74,15.75,5200
4-May-09,15.75,15.75,15.70,15.75,12548
5-May-09,15.62,15.75,15.62,15.75,16550
6-May-09,15.75,16.02,15.67,16.00,15800
7-May-09,15.90,16.24,15.90,15.97,6400
8-May-09,16.00,16.20,16.00,16.14,14446
11-May-09,16.22,16.30,16.17,16.30,11787
12-May-09,16.35,16.50,16.29,16.38,4200
13-May-09,16.28,16.50,16.28,16.50,5100
14-May-09,16.31,16.50,16.31,16.50,7450
15-May-09,16.41,16.47,16.19,16.25,6400
18-May-09,16.40,16.46,16.25,16.25,12100
19-May-09,16.25,16.50,16.25,16.45,7700
20-May-09,16.45,16.98,16.35,16.80,10629
21-May-09,16.75,17.00,16.40,16.90,11720
22-May-09,17.07,17.45,17.07,17.41,6420
25-May-09,-,-,-,17.41,0
26-May-09,17.41,17.77,17.41,17.57,4812
27-May-09,17.50,17.98,17.50,17.75,7550
28-May-09,17.62,18.00,17.50,18.00,12700
29-May-09,17.84,18.00,17.70,18.00,6400
1-Jun-09,18.06,18.16,18.05,18.06,2930
2-Jun-09,18.01,18.11,18.01,18.06,4155
3-Jun-09,18.05,18.12,17.92,18.09,4550
