Date,aapl-open,aapl-close,amzn-open,amzn-close,cost-open,cost-close,gs-open,gs-close,jpm-open,jpm-close,msft-open,msft-close,tgt-open,tgt-close,wfc-open,wfc-close,wmt-open,wmt-close
22-Sep-03,11.09,11.04,46.56,47.47,32.29,32.27,93.4,92.66,35.0,34.99,29.41,29.07,38.7,38.1,25.84,25.55,57.4,57.07
23-Sep-03,11.02,11.22,47.42,50.44,32.55,32.79,92.0,89.06,35.46,35.45,29.12,29.6,38.5,39.49,25.56,25.51,57.2,57.62
24-Sep-03,11.12,10.66,50.37,49.61,32.8,32.0,89.07,85.82,35.99,34.87,29.61,28.46,39.4,38.89,25.58,25.37,57.22,56.62
25-Sep-03,10.67,10.22,49.71,50.05,31.99,31.8,85.52,85.52,34.48,34.48,28.47,28.24,39.11,39.11,25.48,25.48,56.89,56.89
26-Sep-03,10.14,10.34,49.9,48.56,31.57,31.2,86.02,84.7,34.75,34.19,28.27,28.19,39.0,38.25,25.48,25.7,56.7,56.8
29-Sep-03,10.82,10.65,48.85,49.86,31.15,31.36,85.15,85.0,34.2,34.65,28.41,28.83,38.26,37.55,25.7,25.86,56.81,57.23
30-Sep-03,10.54,10.36,49.64,48.43,31.36,31.15,84.75,83.9,34.6,34.33,28.59,27.8,37.55,37.63,25.86,25.75,57.23,55.85
1-Oct-03,10.38,10.4,48.37,49.12,31.15,32.3,83.9,86.0,34.7,35.38,28.03,28.52,37.63,38.62,25.88,26.45,56.01,57.06
2-Oct-03,10.4,10.28,48.94,50.09,32.35,31.94,85.96,85.96,35.02,35.02,28.45,28.5,38.24,38.24,26.48,26.48,57.06,57.06
3-Oct-03,10.5,10.84,51.13,52.89,32.5,32.26,87.3,86.66,35.05,35.17,29.16,29.08,38.24,39.35,26.7,26.62,58.0,57.48
6-Oct-03,10.84,11.14,52.85,54.15,32.31,33.04,86.66,86.72,35.2,35.55,29.15,29.19,39.13,39.15,26.6,26.67,57.57,57.99
7-Oct-03,11.02,11.61,54.0,54.91,32.77,33.34,86.72,86.84,35.55,36.09,29.01,29.14,38.7,39.69,26.67,27.08,57.74,58.9
8-Oct-03,11.62,11.53,55.44,55.7,34.15,32.93,86.85,86.26,36.2,35.61,29.36,28.82,39.98,39.3,27.02,27.07,59.0,58.52
9-Oct-03,11.65,11.72,57.41,57.86,33.4,32.99,87.0,87.0,35.57,35.57,29.22,28.94,40.4,40.4,27.1,27.1,58.96,58.96
10-Oct-03,11.75,11.84,57.7,58.06,33.05,32.87,87.01,86.94,35.7,35.52,28.91,28.91,40.29,39.57,27.11,27.28,58.95,58.42
13-Oct-03,11.9,12.18,58.0,58.3,33.0,33.35,87.7,88.17,35.7,36.44,28.98,28.78,39.85,40.11,27.38,27.52,58.43,58.95
14-Oct-03,12.16,12.28,58.1,59.91,32.87,33.47,88.17,88.64,36.5,36.78,28.6,28.68,40.2,40.67,27.55,27.58,59.1,59.33
15-Oct-03,12.44,12.41,60.4,58.54,33.6,33.64,89.45,88.75,36.94,36.6,29.2,29.07,40.9,40.34,27.64,27.52,59.34,59.07
16-Oct-03,11.9,11.62,58.16,59.91,33.9,33.78,87.99,87.99,36.84,36.84,28.91,29.23,40.25,40.25,27.53,27.53,59.39,59.39
17-Oct-03,11.74,11.38,59.3,59.69,33.94,33.31,88.03,87.17,36.62,36.34,29.26,28.93,40.4,39.68,27.53,27.5,59.6,58.84
20-Oct-03,11.3,11.61,59.57,59.59,33.3,33.45,87.0,87.01,36.75,36.6,28.94,29.35,39.85,39.41,27.5,27.68,59.0,59.0
21-Oct-03,11.66,11.59,59.73,59.35,33.35,33.91,87.02,87.62,36.8,36.67,29.35,29.35,39.25,39.89,27.53,27.75,58.85,58.97
22-Oct-03,11.46,11.38,56.02,54.03,33.85,33.88,86.47,86.47,34.98,34.98,29.04,28.89,39.11,39.11,27.36,27.36,58.24,58.24
23-Oct-03,11.36,11.5,52.98,54.32,33.8,34.06,86.22,87.0,35.0,35.0,28.72,28.91,39.11,39.03,27.36,27.6,58.0,58.7
24-Oct-03,11.28,11.3,54.55,54.51,33.78,33.72,87.0,85.82,35.0,34.77,27.27,26.61,38.98,38.38,27.45,27.5,58.28,58.11
27-Oct-03,11.38,11.3,54.9,54.82,33.75,33.9,87.5,88.19,35.23,34.95,26.91,26.91,38.85,38.8,27.65,27.22,57.8,57.79
28-Oct-03,11.27,11.86,55.19,56.73,33.73,34.76,88.95,92.25,35.0,35.55,27.1,27.2,38.9,39.69,27.1,27.46,57.79,58.76
29-Oct-03,11.76,11.84,56.6,56.69,34.74,35.31,92.99,92.65,35.55,35.93,27.25,26.74,40.24,39.5,27.46,27.44,58.55,58.85
30-Oct-03,12.0,11.54,57.36,55.83,35.64,34.92,93.43,93.43,35.84,35.84,27.04,26.12,39.28,39.28,27.69,27.69,58.8,58.8
31-Oct-03,11.64,11.44,55.9,54.43,34.88,35.45,93.43,93.9,35.9,35.9,26.37,26.14,39.28,39.74,27.65,28.16,58.8,58.95
3-Nov-03,11.42,11.58,54.8,56.74,35.29,35.18,94.65,96.19,36.22,36.71,26.35,26.68,40.0,39.86,28.16,28.44,58.95,59.04
4-Nov-03,11.54,11.46,56.72,56.86,35.05,35.29,96.2,95.95,36.3,36.6,26.59,26.07,39.93,39.44,28.44,27.98,59.05,58.66
