Date,belfb-open,belfb-close,brks-open,brks-close,cadx-open,cadx-close,cuba-open,cuba-close,htr-open,htr-close,keg-open,keg-close,lxrx-open,lxrx-close,mux-open,mux-close,tdi-open,tdi-close
22-Sep-08,29.06,29.41,11.14,10.5,9.95,9.67,6.05,6.06,20.84,20.2,13.71,13.43,2.08,1.99,1.35,1.37,16.76,16.66
23-Sep-08,29.48,28.57,10.49,9.94,9.66,9.3,6.15,6.0,19.8,20.48,13.3,12.41,1.99,1.74,1.28,1.31,16.68,16.65
24-Sep-08,28.67,28.23,9.94,9.44,9.37,8.97,5.96,6.06,20.08,20.48,12.5,12.44,1.77,1.77,1.32,1.21,16.65,17.02
25-Sep-08,28.42,28.14,9.42,9.32,8.98,9.16,6.02,6.1,20.44,21.32,12.2,12.44,1.75,1.75,1.24,1.25,16.57,17.0
26-Sep-08,27.7,28.99,9.11,9.24,9.14,9.06,6.0,6.09,21.2,20.4,12.09,12.11,1.77,1.78,1.24,1.29,16.51,17.1
29-Sep-08,28.48,27.49,9.08,8.62,9.02,8.75,6.0,5.55,19.76,18.84,11.79,11.33,1.78,1.76,1.35,1.42,16.7,16.0
30-Sep-08,27.66,28.47,8.72,8.36,8.83,8.88,5.51,5.8,18.44,18.88,11.3,11.6,1.77,1.78,1.4,1.32,16.0,16.0
1-Oct-08,28.33,28.96,8.23,8.26,8.84,8.25,5.79,6.09,18.36,19.64,11.75,11.14,1.76,1.74,1.3,1.22,16.22,16.0
2-Oct-08,28.3,27.9,8.19,7.72,8.36,7.83,6.05,5.9,19.04,20.0,11.05,9.82,1.81,1.57,1.29,1.0,16.01,16.05
3-Oct-08,28.23,27.2,7.85,7.65,7.93,8.19,5.92,5.53,19.72,19.89,9.78,9.91,1.55,1.2,1.02,1.0,16.02,16.0
6-Oct-08,26.87,25.61,7.54,7.42,8.05,8.05,5.32,4.45,17.88,18.44,9.45,8.06,1.22,1.08,1.12,0.91,16.0,15.5
7-Oct-08,25.86,23.95,7.21,6.81,8.28,7.66,5.0,4.13,18.24,17.28,8.27,6.78,1.09,0.91,0.99,0.85,15.75,15.8
8-Oct-08,24.04,21.45,6.64,7.3,7.61,7.44,4.0,3.85,16.4,16.4,6.51,6.27,0.88,0.93,0.89,0.87,15.5,15.85
9-Oct-08,21.82,18.64,7.49,7.04,7.58,7.53,4.04,3.5,15.2,15.4,6.57,5.92,1.05,0.91,0.9,0.85,15.35,15.75
10-Oct-08,17.82,18.95,6.63,6.96,7.3,7.46,3.45,3.64,13.0,15.2,5.89,4.9,0.88,0.96,0.89,0.75,15.9,16.15
13-Oct-08,17.15,21.27,7.23,7.61,7.92,8.0,3.94,4.26,17.32,17.56,5.4,6.38,1.05,1.35,0.8,0.79,16.35,16.0
14-Oct-08,21.28,19.8,7.73,7.36,8.18,7.89,4.44,4.28,17.68,18.04,6.65,7.15,1.43,1.31,0.85,0.87,16.22,16.2
15-Oct-08,19.49,17.84,7.26,6.61,7.8,6.31,4.36,4.03,16.88,17.2,6.98,6.0,1.3,1.08,0.9,0.66,16.0,15.82
16-Oct-08,17.97,19.33,6.56,6.85,6.35,6.81,4.45,4.3,16.96,17.52,5.79,6.29,1.08,1.27,0.71,0.64,15.4,15.9
17-Oct-08,18.47,18.77,6.65,7.11,6.9,6.99,4.4,4.28,17.16,18.4,6.27,6.06,1.24,1.22,0.66,0.64,16.12,15.49
20-Oct-08,18.97,19.59,7.23,7.76,7.34,7.02,4.79,4.78,18.68,18.63,6.23,6.7,1.24,1.42,0.67,0.64,15.51,16.0
21-Oct-08,19.23,18.28,7.63,7.74,6.91,7.19,4.72,4.59,18.28,18.8,6.5,6.31,1.49,1.57,0.63,0.63,16.25,16.03
22-Oct-08,17.82,17.62,7.64,6.96,7.07,6.81,4.5,4.43,18.68,18.36,6.24,5.17,1.53,1.48,0.66,0.52,17.23,15.76
23-Oct-08,17.83,17.55,6.94,6.7,6.82,6.89,4.22,4.15,18.72,17.8,5.17,5.21,1.49,1.38,0.52,0.44,15.85,15.13
24-Oct-08,19.62,17.0,6.21,6.46,6.42,7.0,3.9,3.83,16.48,17.84,4.76,5.16,1.28,1.31,0.44,0.5,14.93,14.85
27-Oct-08,16.8,16.53,6.34,6.39,6.93,6.58,3.7,4.12,18.4,18.0,4.91,4.43,1.3,1.14,0.53,0.5,14.67,14.64
28-Oct-08,16.9,18.18,6.55,6.45,6.71,7.15,4.15,4.22,18.8,18.24,4.75,4.74,1.16,1.39,0.48,0.5,14.4,14.08
29-Oct-08,18.55,18.56,6.53,6.34,7.19,7.11,4.44,4.44,19.16,19.4,4.78,5.4,1.42,1.35,0.55,0.58,14.05,14.3
30-Oct-08,19.0,18.7,6.51,6.53,7.3,6.9,4.44,4.67,20.8,19.82,5.67,6.09,1.35,1.4,0.65,0.69,14.49,15.0
31-Oct-08,18.53,21.7,6.44,6.85,6.85,6.53,4.75,4.61,19.92,20.2,5.83,6.2,1.4,1.57,0.69,0.7,15.0,15.0
3-Nov-08,21.68,20.0,6.85,7.07,6.54,6.88,4.67,4.67,20.2,20.48,6.3,5.8,1.56,1.68,0.73,0.73,14.78,14.25
